rule_id;review_cluster_id;priorite;domaine;statut;blocage;mechanical_proposal;neutral_legal_question;perimetre_a_examiner;reviewer_decision;reviewer_name;review_date;source_scope;exceptions_constatees;enonce_reformule;review_notes
LCBFT-R-010;CL-CMF-ARTL-561-18-SRC;P0;LCBFT;draft;SOURCE_INCOMPLETE;INSUFFICIENT_SOURCE;Le texte de Article L.561-18 de Code monétaire et financier, consulté hors de cet environnement, soutient-il l'énoncé de LCBFT-R-010, ou l'énoncé vise-t-il une autre disposition ?;Article L.561-18 de Code monétaire et financier, consulté hors de cet environnement d'exécution (le texte primaire n'y est pas atteignable);;;;;;;
LCBFT-R-012;CL-CMF-ARTL-561-8-SRC;P0;LCBFT;draft;SOURCE_INCOMPLETE;INSUFFICIENT_SOURCE;Le texte de Article L.561-8 de Code monétaire et financier, consulté hors de cet environnement, soutient-il l'énoncé de LCBFT-R-012, ou l'énoncé vise-t-il une autre disposition ?;Article L.561-8 de Code monétaire et financier, consulté hors de cet environnement d'exécution (le texte primaire n'y est pas atteignable);;;;;;;
MIFID-R-002;CL-32014L0065-ART25-EXC;P0;MIFID;source_checked;EXCEPTION_UNRESOLVED;NO_EXCEPTION_IDENTIFIED_IN_REVIEWED_SCOPE;Une dérogation, exclusion, exemption ou condition applicable à MIFID-R-002 existe-t-elle dans le périmètre indiqué — Article 25, un autre article de Directive 2014/65/UE (MIFID II), ou un acte pris sur son fondement — ou n'en existe-t-il aucune dans ce périmètre ?;Directive 2014/65/UE (MIFID II) entier au 2020-01-01 — articles autres que Article 25 compris — ainsi que les actes délégués et d'exécution pris sur son fondement;;;;;;;
MIFID-R-003;CL-32014L0065-ART25-EXC;P0;MIFID;source_checked;EXCEPTION_UNRESOLVED;NO_EXCEPTION_IDENTIFIED_IN_REVIEWED_SCOPE;Une dérogation, exclusion, exemption ou condition applicable à MIFID-R-003 existe-t-elle dans le périmètre indiqué — Article 25, un autre article de Directive 2014/65/UE (MIFID II), ou un acte pris sur son fondement — ou n'en existe-t-il aucune dans ce périmètre ?;Directive 2014/65/UE (MIFID II) entier au 2020-01-01 — articles autres que Article 25 compris — ainsi que les actes délégués et d'exécution pris sur son fondement;;;;;;;
MIFID-R-004;CL-32014L0065-ART25-EXC;P0;MIFID;source_checked;EXCEPTION_UNRESOLVED;NO_EXCEPTION_IDENTIFIED_IN_REVIEWED_SCOPE;Une dérogation, exclusion, exemption ou condition applicable à MIFID-R-004 existe-t-elle dans le périmètre indiqué — Article 25, un autre article de Directive 2014/65/UE (MIFID II), ou un acte pris sur son fondement — ou n'en existe-t-il aucune dans ce périmètre ?;Directive 2014/65/UE (MIFID II) entier au 2020-01-01 — articles autres que Article 25 compris — ainsi que les actes délégués et d'exécution pris sur son fondement;;;;;;;
MIFID-R-006;CL-32021R1253-ART2-ET-ARTICLE-54-DU-REGLE-TMP;P0;MIFID;source_checked;TEMPORAL_UNRESOLVED;EXCEPTION_SCOPE_UNCLEAR;La version de Règlement délégué (UE) 2017/565, modifié par le règlement délégué (UE) 2021/1253 qui fait foi pour MIFID-R-006 est-elle celle déclarée au 2020-01-01, ou une version consolidée postérieure s'applique-t-elle à Article 2 et article 54 du règlement délégué (UE) 2017/565 modifié ?;les versions successives de Règlement délégué (UE) 2017/565, modifié par le règlement délégué (UE) 2021/1253 couvrant Article 2 et article 54 du règlement délégué (UE) 2017/565 modifié, et la date de consolidation applicable;;;;;;;
MIFID-R-007;CL-RD25M-ART54-NEG;P0;MIFID;validated;NEGATIVE_CLAIM_UNRESOLVED;INSUFFICIENT_SOURCE;« Le texte fixerait une proportion minimale chiffrée d'investissements durables à proposer. » : cette disposition est-elle absente de Règlement délégué (UE) 2017/565 modifié dans le périmètre indiqué, ou une disposition la porte-t-elle ?;Règlement délégué (UE) 2017/565 modifié entier dans sa version applicable au 2022-08-02, et non le seul Article 54 : une absence ne s'établit pas sur un extrait;;;;;;;
SFDR-R-001;CL-32019R2088-ART2-EXC;P0;SFDR;source_checked;EXCEPTION_UNRESOLVED;NO_EXCEPTION_IDENTIFIED_IN_REVIEWED_SCOPE;Une dérogation, exclusion, exemption ou condition applicable à SFDR-R-001 existe-t-elle dans le périmètre indiqué — Article 2, un autre article de Règlement (UE) 2019/2088 (SFDR), ou un acte pris sur son fondement — ou n'en existe-t-il aucune dans ce périmètre ?;Règlement (UE) 2019/2088 (SFDR) entier au 2020-01-01 — articles autres que Article 2 compris — ainsi que les actes délégués et d'exécution pris sur son fondement;;;;;;;
SFDR-R-003;CL-32019R2088-ART4-NEG;P0;SFDR;source_checked;NEGATIVE_CLAIM_UNRESOLVED;INSUFFICIENT_SOURCE;« L'article 4 fixerait lui-même un seuil chiffré d'encours déclenchant la prise en compte des PAI. » : cette disposition est-elle absente de Règlement (UE) 2019/2088 (SFDR) dans le périmètre indiqué, ou une disposition la porte-t-elle ?;Règlement (UE) 2019/2088 (SFDR) entier dans sa version applicable au 2020-01-01, et non le seul Article 4 : une absence ne s'établit pas sur un extrait;;;;;;;
SFDR-R-005;CL-32019R2088-ART6-EXC;P0;SFDR;source_checked;EXCEPTION_UNRESOLVED;NO_EXCEPTION_IDENTIFIED_IN_REVIEWED_SCOPE;Une dérogation, exclusion, exemption ou condition applicable à SFDR-R-005 existe-t-elle dans le périmètre indiqué — Article 6, un autre article de Règlement (UE) 2019/2088 (SFDR), ou un acte pris sur son fondement — ou n'en existe-t-il aucune dans ce périmètre ?;Règlement (UE) 2019/2088 (SFDR) entier au 2020-01-01 — articles autres que Article 6 compris — ainsi que les actes délégués et d'exécution pris sur son fondement;;;;;;;
SFDR-R-008;CL-32019R2088-ART8-NEG;P0;SFDR;source_checked;NEGATIVE_CLAIM_UNRESOLVED;INSUFFICIENT_SOURCE;« L'article 8 imposerait une part minimale d'investissements durables. » : cette disposition est-elle absente de Règlement (UE) 2019/2088 (SFDR) dans le périmètre indiqué, ou une disposition la porte-t-elle ?;Règlement (UE) 2019/2088 (SFDR) entier dans sa version applicable au 2020-01-01, et non le seul Article 8 : une absence ne s'établit pas sur un extrait;;;;;;;
TAXO-R-001;CL-32020R0852-ART3-EXC;P0;SFDR;source_checked;EXCEPTION_UNRESOLVED;NO_EXCEPTION_IDENTIFIED_IN_REVIEWED_SCOPE;Une dérogation, exclusion, exemption ou condition applicable à TAXO-R-001 existe-t-elle dans le périmètre indiqué — Article 3, un autre article de Règlement (UE) 2020/852 (Taxonomie), ou un acte pris sur son fondement — ou n'en existe-t-il aucune dans ce périmètre ?;Règlement (UE) 2020/852 (Taxonomie) entier au 2020-01-01 — articles autres que Article 3 compris — ainsi que les actes délégués et d'exécution pris sur son fondement;;;;;;;
TAXO-R-003;CL-32020R0852-ART17-ET-18-EXC;P0;SFDR;source_checked;EXCEPTION_UNRESOLVED;NO_EXCEPTION_IDENTIFIED_IN_REVIEWED_SCOPE;Une dérogation, exclusion, exemption ou condition applicable à TAXO-R-003 existe-t-elle dans le périmètre indiqué — Articles 17 et 18, un autre article de Règlement (UE) 2020/852 (Taxonomie), ou un acte pris sur son fondement — ou n'en existe-t-il aucune dans ce périmètre ?;Règlement (UE) 2020/852 (Taxonomie) entier au 2020-01-01 — articles autres que Articles 17 et 18 compris — ainsi que les actes délégués et d'exécution pris sur son fondement;;;;;;;
AMF-R-002;CL-DOC-2020-03-ARTPOSITION-RECOMMANDATION-EXC;P1;AMF;source_checked;EXCEPTION_UNRESOLVED;NO_EXCEPTION_IDENTIFIED_IN_REVIEWED_SCOPE;Une dérogation, exclusion, exemption ou condition applicable à AMF-R-002 existe-t-elle dans le périmètre indiqué — Position-recommandation DOC-2020-03, un autre article de Position-recommandation AMF DOC-2020-03, ou un acte pris sur son fondement — ou n'en existe-t-il aucune dans ce périmètre ?;Position-recommandation AMF DOC-2020-03 entier au 2020-01-01 — articles autres que Position-recommandation DOC-2020-03 compris — ainsi que les actes délégués et d'exécution pris sur son fondement;;;;;;;
AMF-R-003;CL-DOC-2020-03-ARTPOSITION-RECOMMANDATION-EXC;P1;AMF;source_checked;EXCEPTION_UNRESOLVED;NO_EXCEPTION_IDENTIFIED_IN_REVIEWED_SCOPE;Une dérogation, exclusion, exemption ou condition applicable à AMF-R-003 existe-t-elle dans le périmètre indiqué — Position-recommandation DOC-2020-03, un autre article de Position-recommandation AMF DOC-2020-03, ou un acte pris sur son fondement — ou n'en existe-t-il aucune dans ce périmètre ?;Position-recommandation AMF DOC-2020-03 entier au 2020-01-01 — articles autres que Position-recommandation DOC-2020-03 compris — ainsi que les actes délégués et d'exécution pris sur son fondement;;;;;;;
AMF-R-005;CL-RGA-ARTREGLEMENT-GENERAL-SRC;P1;AMF;draft;SOURCE_INCOMPLETE;INSUFFICIENT_SOURCE;Le texte de Règlement général de Règlement général de l'AMF, consulté hors de cet environnement, soutient-il l'énoncé de AMF-R-005, ou l'énoncé vise-t-il une autre disposition ?;Règlement général de Règlement général de l'AMF, consulté hors de cet environnement d'exécution (le texte primaire n'y est pas atteignable);;;;;;;
DORA-R-004;CL-32022R2554-ART8-A-13-EXC;P1;DORA;source_checked;EXCEPTION_UNRESOLVED;NO_EXCEPTION_IDENTIFIED_IN_REVIEWED_SCOPE;Une dérogation, exclusion, exemption ou condition applicable à DORA-R-004 existe-t-elle dans le périmètre indiqué — Articles 8 à 13, un autre article de Règlement (UE) 2022/2554 (DORA), ou un acte pris sur son fondement — ou n'en existe-t-il aucune dans ce périmètre ?;Règlement (UE) 2022/2554 (DORA) entier au 2020-01-01 — articles autres que Articles 8 à 13 compris — ainsi que les actes délégués et d'exécution pris sur son fondement;;;;;;;
DORA-R-006;CL-32022R2554-ART17-EXC;P1;DORA;source_checked;EXCEPTION_UNRESOLVED;NO_EXCEPTION_IDENTIFIED_IN_REVIEWED_SCOPE;Une dérogation, exclusion, exemption ou condition applicable à DORA-R-006 existe-t-elle dans le périmètre indiqué — Article 17, un autre article de Règlement (UE) 2022/2554 (DORA), ou un acte pris sur son fondement — ou n'en existe-t-il aucune dans ce périmètre ?;Règlement (UE) 2022/2554 (DORA) entier au 2020-01-01 — articles autres que Article 17 compris — ainsi que les actes délégués et d'exécution pris sur son fondement;;;;;;;
DORA-R-012;CL-32022R2554-ART31-EXC;P1;DORA;source_checked;EXCEPTION_UNRESOLVED;NO_EXCEPTION_IDENTIFIED_IN_REVIEWED_SCOPE;Une dérogation, exclusion, exemption ou condition applicable à DORA-R-012 existe-t-elle dans le périmètre indiqué — Article 31, un autre article de Règlement (UE) 2022/2554 (DORA), ou un acte pris sur son fondement — ou n'en existe-t-il aucune dans ce périmètre ?;Règlement (UE) 2022/2554 (DORA) entier au 2020-01-01 — articles autres que Article 31 compris — ainsi que les actes délégués et d'exécution pris sur son fondement;;;;;;;
DORA-R-013;CL-32022R2554-ART64-EXC;P1;DORA;source_checked;EXCEPTION_UNRESOLVED;NO_EXCEPTION_IDENTIFIED_IN_REVIEWED_SCOPE;Une dérogation, exclusion, exemption ou condition applicable à DORA-R-013 existe-t-elle dans le périmètre indiqué — Article 64, un autre article de Règlement (UE) 2022/2554 (DORA), ou un acte pris sur son fondement — ou n'en existe-t-il aucune dans ce périmètre ?;Règlement (UE) 2022/2554 (DORA) entier au 2020-01-01 — articles autres que Article 64 compris — ainsi que les actes délégués et d'exécution pris sur son fondement;;;;;;;
LCBFT-R-004;CL-CMF-ARTL-561-5-1-SRC;P1;LCBFT;draft;SOURCE_INCOMPLETE;INSUFFICIENT_SOURCE;Le texte de Article L.561-5-1 de Code monétaire et financier, consulté hors de cet environnement, soutient-il l'énoncé de LCBFT-R-004, ou l'énoncé vise-t-il une autre disposition ?;Article L.561-5-1 de Code monétaire et financier, consulté hors de cet environnement d'exécution (le texte primaire n'y est pas atteignable);;;;;;;
LCBFT-R-011;CL-CMF-ARTL-561-12-SRC;P1;LCBFT;draft;SOURCE_INCOMPLETE;INSUFFICIENT_SOURCE;Le texte de Article L.561-12 de Code monétaire et financier, consulté hors de cet environnement, soutient-il l'énoncé de LCBFT-R-011, ou l'énoncé vise-t-il une autre disposition ?;Article L.561-12 de Code monétaire et financier, consulté hors de cet environnement d'exécution (le texte primaire n'y est pas atteignable);;;;;;;
LCBFT-R-013;CL-32015L0849-ARTENSEMBLE-DE-LA-DIRECTIVE-SRC;P1;LCBFT;source_checked;SOURCE_INCOMPLETE;INSUFFICIENT_SOURCE;Le texte de Ensemble de la directive de Directive (UE) 2015/849, modifiée par la directive (UE) 2018/843, consulté hors de cet environnement, soutient-il l'énoncé de LCBFT-R-013, ou l'énoncé vise-t-il une autre disposition ?;Ensemble de la directive de Directive (UE) 2015/849, modifiée par la directive (UE) 2018/843, consulté hors de cet environnement d'exécution (le texte primaire n'y est pas atteignable);;;;;;;
MIFID-R-005;CL-32014L0065-ART25-EXC;P1;MIFID;source_checked;EXCEPTION_UNRESOLVED;NO_EXCEPTION_IDENTIFIED_IN_REVIEWED_SCOPE;Une dérogation, exclusion, exemption ou condition applicable à MIFID-R-005 existe-t-elle dans le périmètre indiqué — Article 25, un autre article de Directive 2014/65/UE (MIFID II), ou un acte pris sur son fondement — ou n'en existe-t-il aucune dans ce périmètre ?;Directive 2014/65/UE (MIFID II) entier au 2020-01-01 — articles autres que Article 25 compris — ainsi que les actes délégués et d'exécution pris sur son fondement;;;;;;;
SFDR-R-002;CL-32019R2088-ART3-EXC;P1;SFDR;source_checked;EXCEPTION_UNRESOLVED;NO_EXCEPTION_IDENTIFIED_IN_REVIEWED_SCOPE;Une dérogation, exclusion, exemption ou condition applicable à SFDR-R-002 existe-t-elle dans le périmètre indiqué — Article 3, un autre article de Règlement (UE) 2019/2088 (SFDR), ou un acte pris sur son fondement — ou n'en existe-t-il aucune dans ce périmètre ?;Règlement (UE) 2019/2088 (SFDR) entier au 2020-01-01 — articles autres que Article 3 compris — ainsi que les actes délégués et d'exécution pris sur son fondement;;;;;;;
SFDR-R-006;CL-32019R2088-ART7-EXC;P1;SFDR;source_checked;EXCEPTION_UNRESOLVED;NO_EXCEPTION_IDENTIFIED_IN_REVIEWED_SCOPE;Une dérogation, exclusion, exemption ou condition applicable à SFDR-R-006 existe-t-elle dans le périmètre indiqué — Article 7, un autre article de Règlement (UE) 2019/2088 (SFDR), ou un acte pris sur son fondement — ou n'en existe-t-il aucune dans ce périmètre ?;Règlement (UE) 2019/2088 (SFDR) entier au 2020-01-01 — articles autres que Article 7 compris — ainsi que les actes délégués et d'exécution pris sur son fondement;;;;;;;
SFDR-R-011;CL-32019R2088-ART11-EXC;P1;SFDR;source_checked;EXCEPTION_UNRESOLVED;NO_EXCEPTION_IDENTIFIED_IN_REVIEWED_SCOPE;Une dérogation, exclusion, exemption ou condition applicable à SFDR-R-011 existe-t-elle dans le périmètre indiqué — Article 11, un autre article de Règlement (UE) 2019/2088 (SFDR), ou un acte pris sur son fondement — ou n'en existe-t-il aucune dans ce périmètre ?;Règlement (UE) 2019/2088 (SFDR) entier au 2020-01-01 — articles autres que Article 11 compris — ainsi que les actes délégués et d'exécution pris sur son fondement;;;;;;;
SFDR-R-014;CL-32022R1288-ARTENSEMBLE-DU-REGLEMENT-DE-SRC;P1;SFDR;source_checked;SOURCE_INCOMPLETE;INSUFFICIENT_SOURCE;Le texte de Ensemble du règlement délégué de Règlement délégué (UE) 2022/1288 (RTS SFDR), consulté hors de cet environnement, soutient-il l'énoncé de SFDR-R-014, ou l'énoncé vise-t-il une autre disposition ?;Ensemble du règlement délégué de Règlement délégué (UE) 2022/1288 (RTS SFDR), consulté hors de cet environnement d'exécution (le texte primaire n'y est pas atteignable);;;;;;;
TAXO-R-002;CL-32020R0852-ART9-EXC;P1;SFDR;source_checked;EXCEPTION_UNRESOLVED;NO_EXCEPTION_IDENTIFIED_IN_REVIEWED_SCOPE;Une dérogation, exclusion, exemption ou condition applicable à TAXO-R-002 existe-t-elle dans le périmètre indiqué — Article 9, un autre article de Règlement (UE) 2020/852 (Taxonomie), ou un acte pris sur son fondement — ou n'en existe-t-il aucune dans ce périmètre ?;Règlement (UE) 2020/852 (Taxonomie) entier au 2020-01-01 — articles autres que Article 9 compris — ainsi que les actes délégués et d'exécution pris sur son fondement;;;;;;;
