rule_id;domaine;type;priorite;statut_actuel;texte_source;article;url;version_date_declaree;enonce_actuel;exceptions_statut_actuel;verdict;methode;verifie_par;date_verification;statut_vise;enonce_corrige;article_corrige;paragraphe_corrige;url_corrigee;version_date_constatee;exceptions_statut;exceptions_constatees;gold_ready;gold_ready_motif;commentaire
DORA-R-006;DORA;PROCEDURE;HIGH;source_checked;Règlement (UE) 2022/2554 (DORA);Article 17;https://eur-lex.europa.eu/legal-content/FR/TXT/?uri=CELEX:32022R2554;2020-01-01;L'article 17 impose de définir, d'établir et de mettre en œuvre un processus de gestion des incidents liés aux TIC permettant de les détecter, de les gérer et de les notifier.;unknown;;;;;;;;;;;;;;;STRUCTURES — conditions_cumulatives || CRITÈRES MANQUANTS — exceptions_recherchees || CONSTATS — aucune structure limitante dans l'article cité — ce qui ne prouve pas qu'aucun autre article n'y déroge : « none_identified » demande un juriste
DORA-R-007;DORA;CLASSIFICATION;CRITICAL;source_checked;Règlement (UE) 2022/2554 (DORA);Article 18;https://eur-lex.europa.eu/legal-content/FR/TXT/?uri=CELEX:32022R2554;2020-01-01;L'article 18 impose de classer les incidents liés aux TIC et de déterminer leur incidence selon des critères tels que le nombre de clients affectés, la durée, la répartition géographique, les pertes de données et la criticité des services touchés, les seuils étant précisés par des normes techniques.;unknown;;;;;;;;;;;;;;;"STRUCTURES — conditions_cumulatives, delai, regime_particulier || CRITÈRES MANQUANTS — exceptions_recherchees, temporalite_etablie || CONSTATS — aucune structure limitante dans l'article cité — ce qui ne prouve pas qu'aucun autre article n'y déroge : « none_identified » demande un juriste ; temporalité non établie (statut « IN_FORCE »)"
DORA-R-008;DORA;DEADLINE;CRITICAL;source_checked;Règlement (UE) 2022/2554 (DORA);Article 19;https://eur-lex.europa.eu/legal-content/FR/TXT/?uri=CELEX:32022R2554;2020-01-01;L'article 19 impose de notifier les incidents majeurs liés aux TIC à l'autorité compétente, selon un processus comportant une notification initiale, un rapport intermédiaire et un rapport final, dont les délais sont précisés par des normes techniques.;unknown;;;;;;;;;;;;;;;"STRUCTURES — derogation, conditions_cumulatives, conditions_alternatives, definition_necessaire || CRITÈRES MANQUANTS — temporalite_etablie || CONSTATS — 2 disposition(s) limitante(s) recopiée(s) du texte officiel (derogation) ; temporalité non établie (statut « IN_FORCE »)"
DORA-R-009;DORA;OBLIGATION;HIGH;validated;Règlement (UE) 2022/2554 (DORA);Articles 24 à 26;https://eur-lex.europa.eu/legal-content/FR/TXT/?uri=CELEX:32022R2554;2020-01-01;Les articles 24 à 26 du règlement (UE) 2022/2554 imposent un programme de tests de résilience opérationnelle numérique et prévoient, pour certaines entités, des tests de pénétration fondés sur la menace.;identified_and_incorporated;confirme;primary_text_fetched;;;validated;;;;;;identified_and_incorporated;Sans préjudice du paragraphe 2, premier et deuxième alinéas, lorsque l’on peut raisonnablement s’attendre à ce que la participation d’un prestataire tiers de services TIC au test de pénétration fondé sur la menace, visée au paragraphe 3, ait une incidence négative sur la qualité ou sur la sécurité des services que le prestataire tiers de services TIC fournit à des clients qui sont des entités ne r | Sans préjudice de ladite attestation, les entités financières restent à tout moment pleinement responsables de l’incidence des tests visée au paragraphe 4. 8. | En l’absence de désignation conformément au paragraphe 9 du présent article, et sans préjudice du pouvoir de désigner les entités financières qui sont tenues de réaliser un test de pénétration fondé sur la menace, une autorité compétente peut déléguer l’exercice de tout ou partie des tâches visées au présent article et à l’article 27 à une autre autorité nationale du secteur financier. 11.;oui;énoncé porteur d'un fait vérifiable, ancré sur « Articles 24 à 26 » (203 caractères), exceptions « identified_and_incorporated »;STRUCTURES — derogation, conditions_cumulatives, delai, regime_particulier || CONSTATS — 3 disposition(s) limitante(s) recopiée(s) du texte officiel (derogation)
DORA-R-010;DORA;RECORD_KEEPING;CRITICAL;source_checked;Règlement (UE) 2022/2554 (DORA);Article 28;https://eur-lex.europa.eu/legal-content/FR/TXT/?uri=CELEX:32022R2554;2020-01-01;L'article 28 du règlement (UE) 2022/2554 impose de tenir et de mettre à jour un registre d'information relatif à l'ensemble des accords contractuels portant sur l'utilisation de services TIC fournis par des prestataires tiers, en distinguant ceux qui soutiennent des fonctions critiques ou importantes.;unknown;;;;;;;;;;;;;;;STRUCTURES — conditions_cumulatives, delai, regime_particulier || CRITÈRES MANQUANTS — exceptions_recherchees || CONSTATS — aucune structure limitante dans l'article cité — ce qui ne prouve pas qu'aucun autre article n'y déroge : « none_identified » demande un juriste
DORA-R-011;DORA;OBLIGATION;CRITICAL;validated;Règlement (UE) 2022/2554 (DORA);Article 30;https://eur-lex.europa.eu/legal-content/FR/TXT/?uri=CELEX:32022R2554;2020-01-01;L'article 30 énumère les dispositions que doivent contenir les accords contractuels avec les prestataires tiers de services TIC, avec des exigences renforcées lorsque les services soutiennent des fonctions critiques ou importantes, notamment en matière d'accès, d'inspection, d'audit et de stratégies de sortie.;identified_and_incorporated;confirme;primary_text_fetched;;;validated;;;;;;identified_and_incorporated;Par dérogation au point e), le prestataire tiers de services TIC et l’entité financière qui est une microentreprise peuvent convenir que les droits d’accès, d’inspection et d’audit de l’entité financière peuvent être délégués à une tierce partie indépendante, nommée par le prestataire tiers de services TIC, et que l’entité financière est habilitée à demander à la tierce partie, en tout temps, des;oui;énoncé porteur d'un fait vérifiable, ancré sur « Article 30 » (311 caractères), exceptions « identified_and_incorporated »;STRUCTURES — derogation, conditions_cumulatives, delai, regime_particulier || CONSTATS — 1 disposition(s) limitante(s) recopiée(s) du texte officiel (derogation)
DORA-R-012;DORA;CLASSIFICATION;HIGH;source_checked;Règlement (UE) 2022/2554 (DORA);Article 31;https://eur-lex.europa.eu/legal-content/FR/TXT/?uri=CELEX:32022R2554;2020-01-01;L'article 31 organise la désignation, par les autorités européennes de surveillance, des prestataires tiers de services TIC critiques, et les soumet à un cadre de supervision spécifique.;unknown;;;;;;;;;;;;;;;STRUCTURES — conditions_cumulatives, delai || CRITÈRES MANQUANTS — exceptions_recherchees || CONSTATS — aucune structure limitante dans l'article cité — ce qui ne prouve pas qu'aucun autre article n'y déroge : « none_identified » demande un juriste
DORA-R-013;DORA;DEADLINE;HIGH;source_checked;Règlement (UE) 2022/2554 (DORA);Article 64;https://eur-lex.europa.eu/legal-content/FR/TXT/?uri=CELEX:32022R2554;2020-01-01;Le règlement (UE) 2022/2554 est entré en vigueur après sa publication et s'applique à compter du 17 janvier 2025.;none_identified;;;;;;;;;;;;;;;"STRUCTURES — aucune || CRITÈRES MANQUANTS — exceptions_recherchees, conditions_capturees, temporalite_etablie || CONSTATS — aucune structure limitante dans l'article cité — ce qui ne prouve pas qu'aucun autre article n'y déroge : « none_identified » demande un juriste ; temporalité non établie (statut « IN_FORCE »)"
LCBFT-R-001;LCBFT;SCOPE;CRITICAL;draft;Code monétaire et financier;Article L.561-2;https://www.legifrance.gouv.fr/codes/section_lc/LEGITEXT000006072026/LEGISCTA000020196177;2020-01-01;L'article L.561-2 du code monétaire et financier énumère les personnes assujetties aux obligations de lutte contre le blanchiment de capitaux et le financement du terrorisme.;unknown;;;;;;;;;;;;;;;STRUCTURES — aucune || CONSTATS — texte de l'article non disponible : la structure juridique n'a pas pu être examinée, et une absence d'exception ne se suppose pas
LCBFT-R-002;LCBFT;OBLIGATION;CRITICAL;draft;Code monétaire et financier;Article L.561-4-1;https://www.legifrance.gouv.fr/codes/section_lc/LEGITEXT000006072026/LEGISCTA000020196177;2020-01-01;L'article L.561-4-1 du code monétaire et financier impose aux personnes assujetties de définir et de mettre en place des dispositifs d'identification et d'évaluation des risques de blanchiment et de financement du terrorisme auxquels elles sont exposées, et d'élaborer une classification de ces risques.;unknown;;;;;;;;;;;;;;;STRUCTURES — aucune || CONSTATS — texte de l'article non disponible : la structure juridique n'a pas pu être examinée, et une absence d'exception ne se suppose pas
LCBFT-R-003;LCBFT;OBLIGATION;CRITICAL;draft;Code monétaire et financier;Article L.561-5;https://www.legifrance.gouv.fr/codes/section_lc/LEGITEXT000006072026/LEGISCTA000020196177;2020-01-01;L'article L.561-5 du code monétaire et financier impose d'identifier le client et, le cas échéant, le bénéficiaire effectif, et de vérifier ces éléments d'identification avant d'entrer en relation d'affaires.;unknown;;;;;;;;;;;;;;;STRUCTURES — aucune || CONSTATS — texte de l'article non disponible : la structure juridique n'a pas pu être examinée, et une absence d'exception ne se suppose pas
LCBFT-R-004;LCBFT;OBLIGATION;HIGH;draft;Code monétaire et financier;Article L.561-5-1;https://www.legifrance.gouv.fr/codes/section_lc/LEGITEXT000006072026/LEGISCTA000020196177;2020-01-01;L'article L.561-5-1 du code monétaire et financier impose de recueillir, avant d'entrer en relation d'affaires, les informations relatives à l'objet et à la nature de cette relation et tout élément d'information pertinent.;unknown;;;;;;;;;;;;;;;STRUCTURES — aucune || CONSTATS — texte de l'article non disponible : la structure juridique n'a pas pu être examinée, et une absence d'exception ne se suppose pas
LCBFT-R-005;LCBFT;DEFINITION;CRITICAL;draft;Code monétaire et financier;Articles L.561-2-2 et R.561-1 et suivants;https://www.legifrance.gouv.fr/codes/section_lc/LEGITEXT000006072026/LEGISCTA000020196177;2020-01-01;Le code monétaire et financier impose d'identifier et de vérifier l'identité du bénéficiaire effectif de la relation d'affaires, les modalités et critères de détermination étant fixés par sa partie réglementaire.;unknown;;;;;;;;;;;;;;;STRUCTURES — aucune || CONSTATS — texte de l'article non disponible : la structure juridique n'a pas pu être examinée, et une absence d'exception ne se suppose pas
LCBFT-R-006;LCBFT;OBLIGATION;CRITICAL;draft;Code monétaire et financier;Article L.561-6;https://www.legifrance.gouv.fr/codes/section_lc/LEGITEXT000006072026/LEGISCTA000020196177;2020-01-01;L'article L.561-6 du code monétaire et financier impose d'exercer une vigilance constante pendant toute la durée de la relation d'affaires et de procéder à un examen attentif des opérations effectuées, en veillant à ce qu'elles soient cohérentes avec la connaissance actualisée du client.;unknown;;;;;;;;;;;;;;;STRUCTURES — aucune || CONSTATS — texte de l'article non disponible : la structure juridique n'a pas pu être examinée, et une absence d'exception ne se suppose pas
LCBFT-R-007;LCBFT;OBLIGATION;CRITICAL;draft;Code monétaire et financier;Article L.561-10;https://www.legifrance.gouv.fr/codes/section_lc/LEGITEXT000006072026/LEGISCTA000020196177;2020-01-01;L'article L.561-10 du code monétaire et financier énumère les situations dans lesquelles les personnes assujetties appliquent des mesures de vigilance complémentaires à l'égard de leur client.;unknown;;;;;;;;;;;;;;;STRUCTURES — aucune || CONSTATS — texte de l'article non disponible : la structure juridique n'a pas pu être examinée, et une absence d'exception ne se suppose pas
LCBFT-R-008;LCBFT;CLASSIFICATION;CRITICAL;draft;Code monétaire et financier;Articles L.561-10 et R.561-18;https://www.legifrance.gouv.fr/codes/section_lc/LEGITEXT000006072026/LEGISCTA000020196177;2020-01-01;Le code monétaire et financier soumet les relations d'affaires avec des personnes politiquement exposées à des mesures de vigilance complémentaires, la définition et le périmètre de ces personnes étant précisés par sa partie réglementaire.;unknown;;;;;;;;;;;;;;;STRUCTURES — aucune || CONSTATS — texte de l'article non disponible : la structure juridique n'a pas pu être examinée, et une absence d'exception ne se suppose pas
LCBFT-R-009;LCBFT;OBLIGATION;CRITICAL;draft;Code monétaire et financier;Article L.561-15;https://www.legifrance.gouv.fr/codes/section_lc/LEGITEXT000006072026/LEGISCTA000020196177;2020-01-01;L'article L.561-15 du code monétaire et financier impose de déclarer au service Tracfin les sommes ou opérations portant sur des sommes dont les personnes assujetties savent, soupçonnent ou ont de bonnes raisons de soupçonner qu'elles proviennent d'une infraction passible d'une peine privative de liberté supérieure à un an ou sont liées au financement du terrorisme.;unknown;;;;;;;;;;;;;;;STRUCTURES — aucune || CONSTATS — texte de l'article non disponible : la structure juridique n'a pas pu être examinée, et une absence d'exception ne se suppose pas
LCBFT-R-010;LCBFT;PROHIBITION;CRITICAL;draft;Code monétaire et financier;Article L.561-18;https://www.legifrance.gouv.fr/codes/section_lc/LEGITEXT000006072026/LEGISCTA000020196177;2020-01-01;Le code monétaire et financier interdit de porter à la connaissance du client ou de tiers l'existence et le contenu d'une déclaration de soupçon adressée à Tracfin, ainsi que les suites qui lui sont données.;unknown;;;;;;;;;;;;;;;STRUCTURES — aucune || CONSTATS — texte de l'article non disponible : la structure juridique n'a pas pu être examinée, et une absence d'exception ne se suppose pas
LCBFT-R-011;LCBFT;RECORD_KEEPING;HIGH;draft;Code monétaire et financier;Article L.561-12;https://www.legifrance.gouv.fr/codes/section_lc/LEGITEXT000006072026/LEGISCTA000020196177;2020-01-01;L'article L.561-12 du code monétaire et financier impose de conserver pendant cinq ans à compter de la clôture des comptes ou de la cessation des relations les documents et informations relatifs à l'identité des clients et aux opérations effectuées.;unknown;;;;;;;;;;;;;;;STRUCTURES — aucune || CONSTATS — texte de l'article non disponible : la structure juridique n'a pas pu être examinée, et une absence d'exception ne se suppose pas
LCBFT-R-012;LCBFT;PROHIBITION;CRITICAL;draft;Code monétaire et financier;Article L.561-8;https://www.legifrance.gouv.fr/codes/section_lc/LEGITEXT000006072026/LEGISCTA000020196177;2020-01-01;L'article L.561-8 du code monétaire et financier dispose que, lorsque la personne assujettie n'est pas en mesure d'identifier son client ou d'obtenir les informations sur l'objet et la nature de la relation d'affaires, elle n'exécute aucune opération et n'établit ni ne poursuit aucune relation d'affaires.;unknown;;;;;;;;;;;;;;;STRUCTURES — aucune || CONSTATS — texte de l'article non disponible : la structure juridique n'a pas pu être examinée, et une absence d'exception ne se suppose pas
LCBFT-R-013;LCBFT;SCOPE;HIGH;source_checked;Directive (UE) 2015/849, modifiée par la directive (UE) 2018/843;Ensemble de la directive;https://eur-lex.europa.eu/legal-content/FR/TXT/?uri=CELEX:32015L0849;2020-01-01;La directive (UE) 2015/849, modifiée notamment par la directive (UE) 2018/843, constitue le cadre européen relatif à la prévention de l'utilisation du système financier aux fins du blanchiment de capitaux et du financement du terrorisme, transposé en droit français dans le code monétaire et financier.;unknown;;;;;;;;;;;;;;;STRUCTURES — aucune || CONSTATS — texte de l'article non disponible : la structure juridique n'a pas pu être examinée, et une absence d'exception ne se suppose pas
MIFID-R-001;MIFID;OBLIGATION;HIGH;validated;Directive 2014/65/UE (MIFID II);Article 24;https://eur-lex.europa.eu/legal-content/FR/TXT/?uri=CELEX:32014L0065;2020-01-01;L'article 24 de la directive 2014/65/UE impose aux entreprises d'investissement d'agir d'une manière honnête, équitable et professionnelle qui serve au mieux les intérêts de leurs clients, et fixe les exigences générales d'information, notamment le caractère correct, clair et non trompeur des informations adressées aux clients.;identified_and_incorporated;confirme;primary_text_fetched;;;validated;;;;;;identified_and_incorporated;Les avantages monétaires mineurs qui sont susceptibles d’améliorer la qualité du service fourni à un client et dont la grandeur et la nature sont telles qu’ils ne peuvent être pas considérés comme empêchant le respect par l’entreprise d’investissement de son devoir d’agir au mieux des intérêts du client, doivent être clairement signalés et sont exclus du présent point. 8. | Les avantages monétaires mineurs qui sont susceptibles d’améliorer la qualité du service fourni à un client et dont la grandeur et la nature sont telles qu’ils ne peuvent pas être considérés comme empêchant le respect par l’entreprise d’investissement de son devoir d’agir au mieux des intérêts du client, sont clairement signalés et sont exclus du présent paragraphe. 9.;non;l'énoncé décrit le texte au lieu de le dire (notamment) : une réponse de référence devrait réinterpréter le droit pour être écrite;STRUCTURES — exclusion, conditions_cumulatives, delai, regime_particulier || CONSTATS — 2 disposition(s) limitante(s) recopiée(s) du texte officiel (exclusion)
MIFID-R-002;MIFID;OBLIGATION;CRITICAL;source_checked;Directive 2014/65/UE (MIFID II);Article 25;https://eur-lex.europa.eu/legal-content/FR/TXT/?uri=CELEX:32014L0065;2020-01-01;L'article 25 de la directive 2014/65/UE impose, lorsqu'un conseil en investissement ou un service de gestion de portefeuille est fourni, de se procurer les informations nécessaires sur les connaissances et l'expérience du client, sa situation financière y compris sa capacité à subir des pertes, et ses objectifs d'investissement y compris sa tolérance au risque, afin de recommander les services et instruments qui lui conviennent.;unknown;;;;;;;;;;;;;;;STRUCTURES — conditions_cumulatives, delai, regime_particulier, definition_necessaire || CRITÈRES MANQUANTS — exceptions_recherchees || CONSTATS — aucune structure limitante dans l'article cité — ce qui ne prouve pas qu'aucun autre article n'y déroge : « none_identified » demande un juriste
MIFID-R-003;MIFID;OBLIGATION;CRITICAL;source_checked;Directive 2014/65/UE (MIFID II);Article 25;https://eur-lex.europa.eu/legal-content/FR/TXT/?uri=CELEX:32014L0065;2020-01-01;L'article 25 impose, pour les services autres que le conseil en investissement et la gestion de portefeuille, de demander au client des informations sur ses connaissances et son expérience afin d'évaluer si le service ou l'instrument est approprié, et de l'avertir lorsque tel n'est pas le cas.;unknown;;;;;;;;;;;;;;;STRUCTURES — conditions_cumulatives, delai, regime_particulier, definition_necessaire || CRITÈRES MANQUANTS — exceptions_recherchees || CONSTATS — aucune structure limitante dans l'article cité — ce qui ne prouve pas qu'aucun autre article n'y déroge : « none_identified » demande un juriste
MIFID-R-004;MIFID;EXCEPTION;CRITICAL;source_checked;Directive 2014/65/UE (MIFID II);Article 25;https://eur-lex.europa.eu/legal-content/FR/TXT/?uri=CELEX:32014L0065;2020-01-01;L'article 25 permet, à certaines conditions, de fournir des services de réception-transmission ou d'exécution d'ordres sans procéder à l'évaluation du caractère approprié, lorsque le service porte sur des instruments financiers non complexes, qu'il est fourni à l'initiative du client et que celui-ci a été averti.;unknown;;;;;;;;;;;;;;;STRUCTURES — conditions_cumulatives, delai, regime_particulier, definition_necessaire || CRITÈRES MANQUANTS — exceptions_recherchees || CONSTATS — aucune structure limitante dans l'article cité — ce qui ne prouve pas qu'aucun autre article n'y déroge : « none_identified » demande un juriste
MIFID-R-005;MIFID;DISCLOSURE;HIGH;source_checked;Directive 2014/65/UE (MIFID II);Article 25;https://eur-lex.europa.eu/legal-content/FR/TXT/?uri=CELEX:32014L0065;2020-01-01;L'article 25 impose, en cas de conseil en investissement à un client de détail, de lui fournir une déclaration d'adéquation précisant le conseil fourni et la manière dont il répond à ses préférences, objectifs et autres caractéristiques.;unknown;;;;;;;;;;;;;;;STRUCTURES — conditions_cumulatives, delai, regime_particulier, definition_necessaire || CRITÈRES MANQUANTS — exceptions_recherchees || CONSTATS — aucune structure limitante dans l'article cité — ce qui ne prouve pas qu'aucun autre article n'y déroge : « none_identified » demande un juriste
MIFID-R-006;MIFID;DEFINITION;CRITICAL;source_checked;Règlement délégué (UE) 2017/565, modifié par le règlement délégué (UE) 2021/1253;Article 2 et article 54 du règlement délégué (UE) 2017/565 modifié;https://eur-lex.europa.eu/legal-content/FR/TXT/?uri=CELEX:32021R1253;2020-01-01;Le règlement délégué (UE) 2021/1253, qui modifie le règlement délégué (UE) 2017/565, introduit la notion de préférences en matière de durabilité et impose de les recueillir dans le cadre de l'évaluation de l'adéquation.;unknown;;;;;;;;;;;;;;;"STRUCTURES — exemption, conditions_cumulatives, conditions_alternatives, regime_particulier, renvoi, definition_necessaire || CRITÈRES MANQUANTS — temporalite_etablie || CONSTATS — 3 disposition(s) limitante(s) recopiée(s) du texte officiel (exemption) ; renvois vérifiés dans l'acte : articles 3, 25 ; temporalité non établie (statut « IN_FORCE »)"
