rule_id;priorite;domaine;review_cluster_id;statut_actuel;version_actuelle;blocage;mechanical_proposal;neutral_legal_question;dispositions_a_examiner;source_scope_demande;reviewer_decision;reviewer_name;review_date;review_notes;source_scope;enonce_reformule;exceptions_constatees
DORA-R-010;P0;DORA;CL-EXC-R-GLEMENT-UE-2022-2554-DORA-A1-A16-A2-A20-A26-A46;source_checked;1;EXCEPTION_UNRESOLVED;EXCEPTION_LIKELY;Article 1, Article 16, Article 2 constitue(nt)-t-il(s) une exception applicable à « Article 28 » de Règlement (UE) 2022/2554 (DORA), ou s'agit-il d'obligations distinctes sans incidence sur la portée de la règle DORA-R-010 ?;Article 1 | Article 16 | Article 2 | Article 20 | Article 26 | Article 46;"Règlement (UE) 2022/2554 (DORA), version du 2020-01-01 ; article cité : Article 28 ; dispositions à examiner : Article 1, Article 16, Article 2, Article 20, Article 26, Article 46";;;;;;;
AMF-R-001;P0;AMF;CL-NEG-POSITION-RECOMMANDATION-AMF-AUCUNE;source_checked;1;NEGATIVE_CLAIM_UNRESOLVED;NO_EXCEPTION_IDENTIFIED_IN_REVIEWED_SCOPE;« Le règlement SFDR imposerait lui-même les conditions de communication commerciale applicables en France. » est-il absent de l'intégralité de Position-recommandation AMF DOC-2020-03 dans la version consultée, ou une disposition de cet acte le prévoit-elle ?;;"Position-recommandation AMF DOC-2020-03, version du 2020-01-01 ; article cité : Position-recommandation DOC-2020-03 ; acte entier, à défaut de disposition limitante identifiée";;;;;;;
MIFID-R-007;P0;MIFID;CL-NEG-R-GLEMENT-D-L-GU-UE-2017-565-A54-A72-A79;validated;3;NEGATIVE_CLAIM_UNRESOLVED;EXCEPTION_SCOPE_UNCLEAR;« Le texte fixerait une proportion minimale chiffrée d'investissements durables à proposer. » est-il absent de l'intégralité de Règlement délégué (UE) 2017/565 modifié dans la version consultée, ou une disposition de cet acte le prévoit-elle ?;Article 54 | Article 72 | Article 79;"Règlement délégué (UE) 2017/565 modifié, version du 2022-08-02 ; article cité : Article 54 ; dispositions à examiner : Article 54, Article 72, Article 79";;;;;;;
SFDR-R-008;P0;SFDR;CL-NEG-R-GLEMENT-UE-2019-2088-SFDR-A20-A13;source_checked;1;NEGATIVE_CLAIM_UNRESOLVED;EXCEPTION_LIKELY;« L'article 8 imposerait une part minimale d'investissements durables. » est-il absent de l'intégralité de Règlement (UE) 2019/2088 (SFDR) dans la version consultée, ou une disposition de cet acte le prévoit-elle ?;Article 20 | Article 13;"Règlement (UE) 2019/2088 (SFDR), version du 2020-01-01 ; article cité : Article 8 ; dispositions à examiner : Article 20, Article 13";;;;;;;
SFDR-R-003;P0;SFDR;CL-NEG-R-GLEMENT-UE-2019-2088-SFDR-A20-A4-A13;source_checked;1;NEGATIVE_CLAIM_UNRESOLVED;EXCEPTION_LIKELY;« L'article 4 fixerait lui-même un seuil chiffré d'encours déclenchant la prise en compte des PAI. » est-il absent de l'intégralité de Règlement (UE) 2019/2088 (SFDR) dans la version consultée, ou une disposition de cet acte le prévoit-elle ?;Article 20 | Article 4 | Article 13;"Règlement (UE) 2019/2088 (SFDR), version du 2020-01-01 ; article cité : Article 4 ; dispositions à examiner : Article 20, Article 4, Article 13";;;;;;;
DORA-R-007;P0;DORA;CL-NEG-R-GLEMENT-UE-2022-2554-DORA-A1-A20-A16-A2-A26-A46;source_checked;1;NEGATIVE_CLAIM_UNRESOLVED;EXCEPTION_LIKELY;« L'article 18 fixerait lui-même un nombre de clients affectés au-delà duquel l'incident est majeur. » est-il absent de l'intégralité de Règlement (UE) 2022/2554 (DORA) dans la version consultée, ou une disposition de cet acte le prévoit-elle ?;Article 1 | Article 20 | Article 16 | Article 2 | Article 26 | Article 46;"Règlement (UE) 2022/2554 (DORA), version du 2020-01-01 ; article cité : Article 18 ; dispositions à examiner : Article 1, Article 20, Article 16, Article 2, Article 26, Article 46";;;;;;;
DORA-R-008;P0;DORA;CL-NEG-R-GLEMENT-UE-2022-2554-DORA-A1-A20-A22-A19-A16-A2;source_checked;1;NEGATIVE_CLAIM_UNRESOLVED;EXCEPTION_LIKELY;« Le règlement DORA de niveau 1 fixerait un délai de notification initiale en heures. » est-il absent de l'intégralité de Règlement (UE) 2022/2554 (DORA) dans la version consultée, ou une disposition de cet acte le prévoit-elle ?;Article 1 | Article 20 | Article 22 | Article 19 | Article 16 | Article 2;"Règlement (UE) 2022/2554 (DORA), version du 2020-01-01 ; article cité : Article 19 ; dispositions à examiner : Article 1, Article 20, Article 22, Article 19, Article 16, Article 2";;;;;;;
LCBFT-R-001;P0;LCBFT;CL-SRC-CODE-MON-TAIRE-ET-FINANCIER-AUCUNE;draft;1;SOURCE_INCOMPLETE;INSUFFICIENT_SOURCE;« Article L.561-2 » de Code monétaire et financier existe-t-il dans la version applicable et énonce-t-il ce que la règle LCBFT-R-001 affirme, ou l'ancrage doit-il être corrigé ?;;"Code monétaire et financier, version du 2020-01-01 ; article cité : Article L.561-2 ; acte entier, à défaut de disposition limitante identifiée";;;;;;;
LCBFT-R-002;P0;LCBFT;CL-SRC-CODE-MON-TAIRE-ET-FINANCIER-AUCUNE;draft;1;SOURCE_INCOMPLETE;INSUFFICIENT_SOURCE;« Article L.561-4-1 » de Code monétaire et financier existe-t-il dans la version applicable et énonce-t-il ce que la règle LCBFT-R-002 affirme, ou l'ancrage doit-il être corrigé ?;;"Code monétaire et financier, version du 2020-01-01 ; article cité : Article L.561-4-1 ; acte entier, à défaut de disposition limitante identifiée";;;;;;;
LCBFT-R-003;P0;LCBFT;CL-SRC-CODE-MON-TAIRE-ET-FINANCIER-AUCUNE;draft;1;SOURCE_INCOMPLETE;INSUFFICIENT_SOURCE;« Article L.561-5 » de Code monétaire et financier existe-t-il dans la version applicable et énonce-t-il ce que la règle LCBFT-R-003 affirme, ou l'ancrage doit-il être corrigé ?;;"Code monétaire et financier, version du 2020-01-01 ; article cité : Article L.561-5 ; acte entier, à défaut de disposition limitante identifiée";;;;;;;
LCBFT-R-005;P0;LCBFT;CL-SRC-CODE-MON-TAIRE-ET-FINANCIER-AUCUNE;draft;1;SOURCE_INCOMPLETE;INSUFFICIENT_SOURCE;« Articles L.561-2-2 et R.561-1 et suivants » de Code monétaire et financier existe-t-il dans la version applicable et énonce-t-il ce que la règle LCBFT-R-005 affirme, ou l'ancrage doit-il être corrigé ?;;"Code monétaire et financier, version du 2020-01-01 ; article cité : Articles L.561-2-2 et R.561-1 et suivants ; acte entier, à défaut de disposition limitante identifiée";;;;;;;
LCBFT-R-006;P0;LCBFT;CL-SRC-CODE-MON-TAIRE-ET-FINANCIER-AUCUNE;draft;1;SOURCE_INCOMPLETE;INSUFFICIENT_SOURCE;« Article L.561-6 » de Code monétaire et financier existe-t-il dans la version applicable et énonce-t-il ce que la règle LCBFT-R-006 affirme, ou l'ancrage doit-il être corrigé ?;;"Code monétaire et financier, version du 2020-01-01 ; article cité : Article L.561-6 ; acte entier, à défaut de disposition limitante identifiée";;;;;;;
LCBFT-R-007;P0;LCBFT;CL-SRC-CODE-MON-TAIRE-ET-FINANCIER-AUCUNE;draft;1;SOURCE_INCOMPLETE;INSUFFICIENT_SOURCE;« Article L.561-10 » de Code monétaire et financier existe-t-il dans la version applicable et énonce-t-il ce que la règle LCBFT-R-007 affirme, ou l'ancrage doit-il être corrigé ?;;"Code monétaire et financier, version du 2020-01-01 ; article cité : Article L.561-10 ; acte entier, à défaut de disposition limitante identifiée";;;;;;;
LCBFT-R-008;P0;LCBFT;CL-SRC-CODE-MON-TAIRE-ET-FINANCIER-AUCUNE;draft;1;SOURCE_INCOMPLETE;INSUFFICIENT_SOURCE;« Articles L.561-10 et R.561-18 » de Code monétaire et financier existe-t-il dans la version applicable et énonce-t-il ce que la règle LCBFT-R-008 affirme, ou l'ancrage doit-il être corrigé ?;;"Code monétaire et financier, version du 2020-01-01 ; article cité : Articles L.561-10 et R.561-18 ; acte entier, à défaut de disposition limitante identifiée";;;;;;;
LCBFT-R-009;P0;LCBFT;CL-SRC-CODE-MON-TAIRE-ET-FINANCIER-AUCUNE;draft;1;SOURCE_INCOMPLETE;INSUFFICIENT_SOURCE;« Article L.561-15 » de Code monétaire et financier existe-t-il dans la version applicable et énonce-t-il ce que la règle LCBFT-R-009 affirme, ou l'ancrage doit-il être corrigé ?;;"Code monétaire et financier, version du 2020-01-01 ; article cité : Article L.561-15 ; acte entier, à défaut de disposition limitante identifiée";;;;;;;
LCBFT-R-010;P0;LCBFT;CL-SRC-CODE-MON-TAIRE-ET-FINANCIER-AUCUNE;draft;1;SOURCE_INCOMPLETE;INSUFFICIENT_SOURCE;« Article L.561-18 » de Code monétaire et financier existe-t-il dans la version applicable et énonce-t-il ce que la règle LCBFT-R-010 affirme, ou l'ancrage doit-il être corrigé ?;;"Code monétaire et financier, version du 2020-01-01 ; article cité : Article L.561-18 ; acte entier, à défaut de disposition limitante identifiée";;;;;;;
LCBFT-R-012;P0;LCBFT;CL-SRC-CODE-MON-TAIRE-ET-FINANCIER-AUCUNE;draft;1;SOURCE_INCOMPLETE;INSUFFICIENT_SOURCE;« Article L.561-8 » de Code monétaire et financier existe-t-il dans la version applicable et énonce-t-il ce que la règle LCBFT-R-012 affirme, ou l'ancrage doit-il être corrigé ?;;"Code monétaire et financier, version du 2020-01-01 ; article cité : Article L.561-8 ; acte entier, à défaut de disposition limitante identifiée";;;;;;;
MIFID-R-006;P0;MIFID;CL-TMP-R-GLEMENT-D-L-GU-UE-2017-565-A19-A4-A5-A91-A72-A79;source_checked;1;TEMPORAL_UNRESOLVED;EXCEPTION_LIKELY;La version de Règlement délégué (UE) 2017/565, modifié par le règlement délégué (UE) 2021/1253 qui fait foi pour la règle MIFID-R-006 est-elle celle consultée le 2020-01-01, ou une version consolidée postérieure s'applique-t-elle ?;Article 19 | Article 4 | Article 5 | Article 91 | Article 72 | Article 79;"Règlement délégué (UE) 2017/565, modifié par le règlement délégué (UE) 2021/1253, version du 2020-01-01 ; article cité : Article 2 et article 54 du règlement délégué (UE) 2017/565 modifié ; dispositions à examiner : Article 19, Article 4, Article 5, Article 91, Article 72, Article 79";;;;;;;
MIFID-R-005;P1;MIFID;CL-EXC-DIRECTIVE-2014-65-UE-MIFID-I-A1-A19-A20-A24-A3-A30;source_checked;1;EXCEPTION_UNRESOLVED;EXCEPTION_LIKELY;Article 1, Article 19, Article 20 constitue(nt)-t-il(s) une exception applicable à « Article 25 » de Directive 2014/65/UE (MIFID II), ou s'agit-il d'obligations distinctes sans incidence sur la portée de la règle MIFID-R-005 ?;Article 1 | Article 19 | Article 20 | Article 24 | Article 3 | Article 30;"Directive 2014/65/UE (MIFID II), version du 2020-01-01 ; article cité : Article 25 ; dispositions à examiner : Article 1, Article 19, Article 20, Article 24, Article 3, Article 30";;;;;;;
AMF-R-002;P1;AMF;CL-EXC-POSITION-RECOMMANDATION-AMF-AUCUNE;source_checked;1;EXCEPTION_UNRESOLVED;NO_EXCEPTION_IDENTIFIED_IN_REVIEWED_SCOPE;L'acte Position-recommandation AMF DOC-2020-03 comporte-t-il, en dehors de « Position-recommandation DOC-2020-03 », une disposition qui déroge à cette obligation, ou aucune disposition de cet acte n'en limite-t-elle la portée ?;;"Position-recommandation AMF DOC-2020-03, version du 2020-01-01 ; article cité : Position-recommandation DOC-2020-03 ; acte entier, à défaut de disposition limitante identifiée";;;;;;;
AMF-R-003;P1;AMF;CL-EXC-POSITION-RECOMMANDATION-AMF-AUCUNE;source_checked;1;EXCEPTION_UNRESOLVED;NO_EXCEPTION_IDENTIFIED_IN_REVIEWED_SCOPE;L'acte Position-recommandation AMF DOC-2020-03 comporte-t-il, en dehors de « Position-recommandation DOC-2020-03 », une disposition qui déroge à cette obligation, ou aucune disposition de cet acte n'en limite-t-elle la portée ?;;"Position-recommandation AMF DOC-2020-03, version du 2020-01-01 ; article cité : Position-recommandation DOC-2020-03 ; acte entier, à défaut de disposition limitante identifiée";;;;;;;
SFDR-R-006;P1;SFDR;CL-EXC-R-GLEMENT-UE-2019-2088-SFDR-A13;source_checked;1;EXCEPTION_UNRESOLVED;EXCEPTION_SCOPE_UNCLEAR;Article 13 constitue(nt)-t-il(s) une exception applicable à « Article 7 » de Règlement (UE) 2019/2088 (SFDR), ou s'agit-il d'obligations distinctes sans incidence sur la portée de la règle SFDR-R-006 ?;Article 13;"Règlement (UE) 2019/2088 (SFDR), version du 2020-01-01 ; article cité : Article 7 ; dispositions à examiner : Article 13";;;;;;;
SFDR-R-011;P1;SFDR;CL-EXC-R-GLEMENT-UE-2019-2088-SFDR-A20-A4-A9-A13;source_checked;1;EXCEPTION_UNRESOLVED;EXCEPTION_LIKELY;Article 20, Article 4, Article 9 constitue(nt)-t-il(s) une exception applicable à « Article 11 » de Règlement (UE) 2019/2088 (SFDR), ou s'agit-il d'obligations distinctes sans incidence sur la portée de la règle SFDR-R-011 ?;Article 20 | Article 4 | Article 9 | Article 13;"Règlement (UE) 2019/2088 (SFDR), version du 2020-01-01 ; article cité : Article 11 ; dispositions à examiner : Article 20, Article 4, Article 9, Article 13";;;;;;;
SFDR-R-002;P1;SFDR;CL-EXC-R-GLEMENT-UE-2019-2088-SFDR-A4-A13;source_checked;1;EXCEPTION_UNRESOLVED;EXCEPTION_LIKELY;Article 4, Article 13 constitue(nt)-t-il(s) une exception applicable à « Article 3 » de Règlement (UE) 2019/2088 (SFDR), ou s'agit-il d'obligations distinctes sans incidence sur la portée de la règle SFDR-R-002 ?;Article 4 | Article 13;"Règlement (UE) 2019/2088 (SFDR), version du 2020-01-01 ; article cité : Article 3 ; dispositions à examiner : Article 4, Article 13";;;;;;;
TAXO-R-002;P1;SFDR;CL-EXC-R-GLEMENT-UE-2020-852-TAXONO-A2bis;source_checked;1;EXCEPTION_UNRESOLVED;EXCEPTION_LIKELY;Article 2bis constitue(nt)-t-il(s) une exception applicable à « Article 9 » de Règlement (UE) 2020/852 (Taxonomie), ou s'agit-il d'obligations distinctes sans incidence sur la portée de la règle TAXO-R-002 ?;Article 2bis;"Règlement (UE) 2020/852 (Taxonomie), version du 2020-01-01 ; article cité : Article 9 ; dispositions à examiner : Article 2bis";;;;;;;
DORA-R-004;P1;DORA;CL-EXC-R-GLEMENT-UE-2022-2554-DORA-A1-A16-A2-A20-A26-A46;source_checked;1;EXCEPTION_UNRESOLVED;EXCEPTION_LIKELY;Article 1, Article 16, Article 2 constitue(nt)-t-il(s) une exception applicable à « Articles 8 à 13 » de Règlement (UE) 2022/2554 (DORA), ou s'agit-il d'obligations distinctes sans incidence sur la portée de la règle DORA-R-004 ?;Article 1 | Article 16 | Article 2 | Article 20 | Article 26 | Article 46;"Règlement (UE) 2022/2554 (DORA), version du 2020-01-01 ; article cité : Articles 8 à 13 ; dispositions à examiner : Article 1, Article 16, Article 2, Article 20, Article 26, Article 46";;;;;;;
DORA-R-006;P1;DORA;CL-EXC-R-GLEMENT-UE-2022-2554-DORA-A1-A16-A2-A20-A26-A46;source_checked;1;EXCEPTION_UNRESOLVED;EXCEPTION_LIKELY;Article 1, Article 16, Article 2 constitue(nt)-t-il(s) une exception applicable à « Article 17 » de Règlement (UE) 2022/2554 (DORA), ou s'agit-il d'obligations distinctes sans incidence sur la portée de la règle DORA-R-006 ?;Article 1 | Article 16 | Article 2 | Article 20 | Article 26 | Article 46;"Règlement (UE) 2022/2554 (DORA), version du 2020-01-01 ; article cité : Article 17 ; dispositions à examiner : Article 1, Article 16, Article 2, Article 20, Article 26, Article 46";;;;;;;
DORA-R-013;P1;DORA;CL-EXC-R-GLEMENT-UE-2022-2554-DORA-A1-A16-A2-A20-A26-A46;source_checked;1;EXCEPTION_UNRESOLVED;EXCEPTION_LIKELY;Article 1, Article 16, Article 2 constitue(nt)-t-il(s) une exception applicable à « Article 64 » de Règlement (UE) 2022/2554 (DORA), ou s'agit-il d'obligations distinctes sans incidence sur la portée de la règle DORA-R-013 ?;Article 1 | Article 16 | Article 2 | Article 20 | Article 26 | Article 46;"Règlement (UE) 2022/2554 (DORA), version du 2020-01-01 ; article cité : Article 64 ; dispositions à examiner : Article 1, Article 16, Article 2, Article 20, Article 26, Article 46";;;;;;;
DORA-R-012;P1;DORA;CL-EXC-R-GLEMENT-UE-2022-2554-DORA-A1-A3-A32-A36-A57-A16;source_checked;1;EXCEPTION_UNRESOLVED;EXCEPTION_LIKELY;Article 1, Article 3, Article 32 constitue(nt)-t-il(s) une exception applicable à « Article 31 » de Règlement (UE) 2022/2554 (DORA), ou s'agit-il d'obligations distinctes sans incidence sur la portée de la règle DORA-R-012 ?;Article 1 | Article 3 | Article 32 | Article 36 | Article 57 | Article 16;"Règlement (UE) 2022/2554 (DORA), version du 2020-01-01 ; article cité : Article 31 ; dispositions à examiner : Article 1, Article 3, Article 32, Article 36, Article 57, Article 16";;;;;;;
LCBFT-R-004;P1;LCBFT;CL-SRC-CODE-MON-TAIRE-ET-FINANCIER-AUCUNE;draft;1;SOURCE_INCOMPLETE;INSUFFICIENT_SOURCE;« Article L.561-5-1 » de Code monétaire et financier existe-t-il dans la version applicable et énonce-t-il ce que la règle LCBFT-R-004 affirme, ou l'ancrage doit-il être corrigé ?;;"Code monétaire et financier, version du 2020-01-01 ; article cité : Article L.561-5-1 ; acte entier, à défaut de disposition limitante identifiée";;;;;;;
LCBFT-R-011;P1;LCBFT;CL-SRC-CODE-MON-TAIRE-ET-FINANCIER-AUCUNE;draft;1;SOURCE_INCOMPLETE;INSUFFICIENT_SOURCE;« Article L.561-12 » de Code monétaire et financier existe-t-il dans la version applicable et énonce-t-il ce que la règle LCBFT-R-011 affirme, ou l'ancrage doit-il être corrigé ?;;"Code monétaire et financier, version du 2020-01-01 ; article cité : Article L.561-12 ; acte entier, à défaut de disposition limitante identifiée";;;;;;;
LCBFT-R-013;P1;LCBFT;CL-SRC-DIRECTIVE-UE-2015-849-MODIFI-A2-A58;source_checked;1;SOURCE_INCOMPLETE;INSUFFICIENT_SOURCE;« Ensemble de la directive » de Directive (UE) 2015/849, modifiée par la directive (UE) 2018/843 existe-t-il dans la version applicable et énonce-t-il ce que la règle LCBFT-R-013 affirme, ou l'ancrage doit-il être corrigé ?;Article 2 | Article 58;"Directive (UE) 2015/849, modifiée par la directive (UE) 2018/843, version du 2020-01-01 ; article cité : Ensemble de la directive ; dispositions à examiner : Article 2, Article 58";;;;;;;
SFDR-R-014;P1;SFDR;CL-SRC-R-GLEMENT-D-L-GU-UE-2022-128-A2-A49;source_checked;1;SOURCE_INCOMPLETE;INSUFFICIENT_SOURCE;« Ensemble du règlement délégué » de Règlement délégué (UE) 2022/1288 (RTS SFDR) existe-t-il dans la version applicable et énonce-t-il ce que la règle SFDR-R-014 affirme, ou l'ancrage doit-il être corrigé ?;Article 2 | Article 49;"Règlement délégué (UE) 2022/1288 (RTS SFDR), version du 2020-01-01 ; article cité : Ensemble du règlement délégué ; dispositions à examiner : Article 2, Article 49";;;;;;;
AMF-R-005;P1;AMF;CL-SRC-R-GLEMENT-G-N-RAL-DE-L-AMF-AUCUNE;draft;1;SOURCE_INCOMPLETE;INSUFFICIENT_SOURCE;« Règlement général » de Règlement général de l'AMF existe-t-il dans la version applicable et énonce-t-il ce que la règle AMF-R-005 affirme, ou l'ancrage doit-il être corrigé ?;;"Règlement général de l'AMF, version du 2020-01-01 ; article cité : Règlement général ; acte entier, à défaut de disposition limitante identifiée";;;;;;;
