rule_id;domain;priority;blocker;secondary_blockers;source;article;paragraph;source_access_status;review_cluster;exact_decision_required;required_evidence;proposed_action;expected_status_after_decision
LCBFT-R-006;LCBFT;P0;SOURCE_INCOMPLETE;`HUMAN_REVIEW_REQUIRED` (statut_non_validated) — règle en « draft » : seul « validated » ancre une famille;Code monétaire et financier;Article L.561-6;;REFUS_DE_LA_SOURCE;CL-CMF-ARTL-561-6-SRC;Le texte de Article L.561-6 de Code monétaire et financier, consulté hors de cet environnement, soutient-il l'énoncé de LCBFT-R-006, ou l'énoncé vise-t-il une autre disposition ?;le texte de la disposition dans sa version applicable, sa référence de publication, et la signature (verifie_par + date_verification) portée au dossier de vérification;SOURCE_CONSULTATION;`draft` → `source_checked` si la consultation est signée. Les blocages que le texte révélera ne sont pas connus avant lecture : l'audit les fera apparaître, ils ne se devinent pas ici
LCBFT-R-007;LCBFT;P0;SOURCE_INCOMPLETE;`HUMAN_REVIEW_REQUIRED` (statut_non_validated) — règle en « draft » : seul « validated » ancre une famille;Code monétaire et financier;Article L.561-10;;REFUS_DE_LA_SOURCE;CL-CMF-ARTL-561-10-SRC;Le texte de Article L.561-10 de Code monétaire et financier, consulté hors de cet environnement, soutient-il l'énoncé de LCBFT-R-007, ou l'énoncé vise-t-il une autre disposition ?;le texte de la disposition dans sa version applicable, sa référence de publication, et la signature (verifie_par + date_verification) portée au dossier de vérification;SOURCE_CONSULTATION;`draft` → `source_checked` si la consultation est signée. Les blocages que le texte révélera ne sont pas connus avant lecture : l'audit les fera apparaître, ils ne se devinent pas ici
LCBFT-R-008;LCBFT;P0;SOURCE_INCOMPLETE;`HUMAN_REVIEW_REQUIRED` (statut_non_validated) — règle en « draft » : seul « validated » ancre une famille;Code monétaire et financier;Articles L.561-10 et R.561-18;;REFUS_DE_LA_SOURCE;CL-CMF-ARTL-561-10-ET-R-561-18-SRC;Le texte de Articles L.561-10 et R.561-18 de Code monétaire et financier, consulté hors de cet environnement, soutient-il l'énoncé de LCBFT-R-008, ou l'énoncé vise-t-il une autre disposition ?;le texte de la disposition dans sa version applicable, sa référence de publication, et la signature (verifie_par + date_verification) portée au dossier de vérification;SOURCE_CONSULTATION;`draft` → `source_checked` si la consultation est signée. Les blocages que le texte révélera ne sont pas connus avant lecture : l'audit les fera apparaître, ils ne se devinent pas ici
LCBFT-R-009;LCBFT;P0;SOURCE_INCOMPLETE;`HUMAN_REVIEW_REQUIRED` (statut_non_validated) — règle en « draft » : seul « validated » ancre une famille;Code monétaire et financier;Article L.561-15;;REFUS_DE_LA_SOURCE;CL-CMF-ARTL-561-15-SRC;Le texte de Article L.561-15 de Code monétaire et financier, consulté hors de cet environnement, soutient-il l'énoncé de LCBFT-R-009, ou l'énoncé vise-t-il une autre disposition ?;le texte de la disposition dans sa version applicable, sa référence de publication, et la signature (verifie_par + date_verification) portée au dossier de vérification;SOURCE_CONSULTATION;`draft` → `source_checked` si la consultation est signée. Les blocages que le texte révélera ne sont pas connus avant lecture : l'audit les fera apparaître, ils ne se devinent pas ici
LCBFT-R-010;LCBFT;P0;SOURCE_INCOMPLETE;`HUMAN_REVIEW_REQUIRED` (statut_non_validated) — règle en « draft » : seul « validated » ancre une famille;Code monétaire et financier;Article L.561-18;;REFUS_DE_LA_SOURCE;CL-CMF-ARTL-561-18-SRC;Le texte de Article L.561-18 de Code monétaire et financier, consulté hors de cet environnement, soutient-il l'énoncé de LCBFT-R-010, ou l'énoncé vise-t-il une autre disposition ?;le texte de la disposition dans sa version applicable, sa référence de publication, et la signature (verifie_par + date_verification) portée au dossier de vérification;SOURCE_CONSULTATION;`draft` → `source_checked` si la consultation est signée. Les blocages que le texte révélera ne sont pas connus avant lecture : l'audit les fera apparaître, ils ne se devinent pas ici
LCBFT-R-012;LCBFT;P0;SOURCE_INCOMPLETE;`HUMAN_REVIEW_REQUIRED` (statut_non_validated) — règle en « draft » : seul « validated » ancre une famille;Code monétaire et financier;Article L.561-8;;REFUS_DE_LA_SOURCE;CL-CMF-ARTL-561-8-SRC;Le texte de Article L.561-8 de Code monétaire et financier, consulté hors de cet environnement, soutient-il l'énoncé de LCBFT-R-012, ou l'énoncé vise-t-il une autre disposition ?;le texte de la disposition dans sa version applicable, sa référence de publication, et la signature (verifie_par + date_verification) portée au dossier de vérification;SOURCE_CONSULTATION;`draft` → `source_checked` si la consultation est signée. Les blocages que le texte révélera ne sont pas connus avant lecture : l'audit les fera apparaître, ils ne se devinent pas ici
MIFID-R-002;MIFID;P0;EXCEPTION_UNRESOLVED;`HUMAN_REVIEW_REQUIRED` (statut_non_validated) — règle en « source_checked » : seul « validated » ancre une famille;Directive 2014/65/UE (MIFID II);Article 25;paragraphe 2;TEXTE_RECUPERE;CL-32014L0065-ART25-EXC;Une dérogation, exclusion, exemption ou condition applicable à MIFID-R-002 existe-t-elle dans le périmètre indiqué — Article 25, un autre article de Directive 2014/65/UE (MIFID II), ou un acte pris sur son fondement — ou n'en existe-t-il aucune dans ce périmètre ?;le périmètre réellement examiné (source_scope) et, s'il en existe, les phrases de dérogation recopiées telles quelles du texte officiel;EXCEPTION_ADJUDICATION;"`source_checked` → `validated` possible si la décision est signée ; `gold_ready` est alors recalculé, il n'est pas accordé par la décision"
MIFID-R-003;MIFID;P0;EXCEPTION_UNRESOLVED;`HUMAN_REVIEW_REQUIRED` (statut_non_validated) — règle en « source_checked » : seul « validated » ancre une famille;Directive 2014/65/UE (MIFID II);Article 25;paragraphe 3;TEXTE_RECUPERE;CL-32014L0065-ART25-EXC;Une dérogation, exclusion, exemption ou condition applicable à MIFID-R-003 existe-t-elle dans le périmètre indiqué — Article 25, un autre article de Directive 2014/65/UE (MIFID II), ou un acte pris sur son fondement — ou n'en existe-t-il aucune dans ce périmètre ?;le périmètre réellement examiné (source_scope) et, s'il en existe, les phrases de dérogation recopiées telles quelles du texte officiel;EXCEPTION_ADJUDICATION;"`source_checked` → `validated` possible si la décision est signée ; `gold_ready` est alors recalculé, il n'est pas accordé par la décision"
MIFID-R-004;MIFID;P0;EXCEPTION_UNRESOLVED;`HUMAN_REVIEW_REQUIRED` (statut_non_validated) — règle en « source_checked » : seul « validated » ancre une famille;Directive 2014/65/UE (MIFID II);Article 25;paragraphe 4;TEXTE_RECUPERE;CL-32014L0065-ART25-EXC;Une dérogation, exclusion, exemption ou condition applicable à MIFID-R-004 existe-t-elle dans le périmètre indiqué — Article 25, un autre article de Directive 2014/65/UE (MIFID II), ou un acte pris sur son fondement — ou n'en existe-t-il aucune dans ce périmètre ?;le périmètre réellement examiné (source_scope) et, s'il en existe, les phrases de dérogation recopiées telles quelles du texte officiel;EXCEPTION_ADJUDICATION;"`source_checked` → `validated` possible si la décision est signée ; `gold_ready` est alors recalculé, il n'est pas accordé par la décision"
MIFID-R-006;MIFID;P0;TEMPORAL_UNRESOLVED;`HUMAN_REVIEW_REQUIRED` (statut_non_validated) — règle en « source_checked » : seul « validated » ancre une famille;Règlement délégué (UE) 2017/565, modifié par le règlement délégué (UE) 2021/1253;Article 2 et article 54 du règlement délégué (UE) 2017/565 modifié;;TEXTE_RECUPERE;CL-32021R1253-ART2-ET-ARTICLE-54-DU-REGLE-TMP;La version de Règlement délégué (UE) 2017/565, modifié par le règlement délégué (UE) 2021/1253 qui fait foi pour MIFID-R-006 est-elle celle déclarée au 2020-01-01, ou une version consolidée postérieure s'applique-t-elle à Article 2 et article 54 du règlement délégué (UE) 2017/565 modifié ?;la version consolidée applicable et sa date, ou l'attestation que la version déclarée fait foi;TEMPORAL_REVIEW;"`source_checked` → `validated` possible si la décision est signée ; `gold_ready` est alors recalculé, il n'est pas accordé par la décision"
MIFID-R-007;MIFID;P0;NEGATIVE_CLAIM_UNRESOLVED;;Règlement délégué (UE) 2017/565 modifié;Article 54;paragraphe 10;TEXTE_RECUPERE;CL-RD25M-ART54-NEG;« Le texte fixerait une proportion minimale chiffrée d'investissements durables à proposer. » : cette disposition est-elle absente de Règlement délégué (UE) 2017/565 modifié dans le périmètre indiqué, ou une disposition la porte-t-elle ?;le périmètre couvert (searched_in) et, si le texte la porte, la disposition qui contredit l'affirmation (actual_provision);NEGATIVE_CLAIM_REVIEW;"`validated` → `validated` possible si la décision est signée ; `gold_ready` est alors recalculé, il n'est pas accordé par la décision"
SFDR-R-001;SFDR;P0;EXCEPTION_UNRESOLVED;`HUMAN_REVIEW_REQUIRED` (statut_non_validated) — règle en « source_checked » : seul « validated » ancre une famille;Règlement (UE) 2019/2088 (SFDR);Article 2;point 17;TEXTE_RECUPERE;CL-32019R2088-ART2-EXC;Une dérogation, exclusion, exemption ou condition applicable à SFDR-R-001 existe-t-elle dans le périmètre indiqué — Article 2, un autre article de Règlement (UE) 2019/2088 (SFDR), ou un acte pris sur son fondement — ou n'en existe-t-il aucune dans ce périmètre ?;le périmètre réellement examiné (source_scope) et, s'il en existe, les phrases de dérogation recopiées telles quelles du texte officiel;EXCEPTION_ADJUDICATION;"`source_checked` → `validated` possible si la décision est signée ; `gold_ready` est alors recalculé, il n'est pas accordé par la décision"
SFDR-R-003;SFDR;P0;NEGATIVE_CLAIM_UNRESOLVED;`TEMPORAL_UNRESOLVED` (temporalite_etablie) — temporalité « IN_FORCE » non établie : la date d'appréciation de la question serait arbitraire | `HUMAN_REVIEW_REQUIRED` (statut_non_validated) — règle en « source_checked » : seul « validated » ancre une famille;Règlement (UE) 2019/2088 (SFDR);Article 4;;TEXTE_RECUPERE;CL-32019R2088-ART4-NEG;« L'article 4 fixerait lui-même un seuil chiffré d'encours déclenchant la prise en compte des PAI. » : cette disposition est-elle absente de Règlement (UE) 2019/2088 (SFDR) dans le périmètre indiqué, ou une disposition la porte-t-elle ?;le périmètre couvert (searched_in) et, si le texte la porte, la disposition qui contredit l'affirmation (actual_provision);NEGATIVE_CLAIM_REVIEW;statut inchangé (`source_checked`) : 1 blocage(s) de fond resteraient après cette décision
SFDR-R-005;SFDR;P0;EXCEPTION_UNRESOLVED;`HUMAN_REVIEW_REQUIRED` (statut_non_validated) — règle en « source_checked » : seul « validated » ancre une famille;Règlement (UE) 2019/2088 (SFDR);Article 6;;TEXTE_RECUPERE;CL-32019R2088-ART6-EXC;Une dérogation, exclusion, exemption ou condition applicable à SFDR-R-005 existe-t-elle dans le périmètre indiqué — Article 6, un autre article de Règlement (UE) 2019/2088 (SFDR), ou un acte pris sur son fondement — ou n'en existe-t-il aucune dans ce périmètre ?;le périmètre réellement examiné (source_scope) et, s'il en existe, les phrases de dérogation recopiées telles quelles du texte officiel;EXCEPTION_ADJUDICATION;"`source_checked` → `validated` possible si la décision est signée ; `gold_ready` est alors recalculé, il n'est pas accordé par la décision"
SFDR-R-008;SFDR;P0;NEGATIVE_CLAIM_UNRESOLVED;`EXCEPTION_UNRESOLVED` (exceptions_recherchees) — recherche d'exceptions « requires_human_review » : une question construite ici testerait la règle comme un absolu | `HUMAN_REVIEW_REQUIRED` (statut_non_validated) — règle en « source_checked » : seul « validated » ancre une famille;Règlement (UE) 2019/2088 (SFDR);Article 8;;TEXTE_RECUPERE;CL-32019R2088-ART8-NEG;« L'article 8 imposerait une part minimale d'investissements durables. » : cette disposition est-elle absente de Règlement (UE) 2019/2088 (SFDR) dans le périmètre indiqué, ou une disposition la porte-t-elle ?;le périmètre couvert (searched_in) et, si le texte la porte, la disposition qui contredit l'affirmation (actual_provision);NEGATIVE_CLAIM_REVIEW;statut inchangé (`source_checked`) : 1 blocage(s) de fond resteraient après cette décision
TAXO-R-001;SFDR;P0;EXCEPTION_UNRESOLVED;`HUMAN_REVIEW_REQUIRED` (statut_non_validated) — règle en « source_checked » : seul « validated » ancre une famille;Règlement (UE) 2020/852 (Taxonomie);Article 3;;TEXTE_RECUPERE;CL-32020R0852-ART3-EXC;Une dérogation, exclusion, exemption ou condition applicable à TAXO-R-001 existe-t-elle dans le périmètre indiqué — Article 3, un autre article de Règlement (UE) 2020/852 (Taxonomie), ou un acte pris sur son fondement — ou n'en existe-t-il aucune dans ce périmètre ?;le périmètre réellement examiné (source_scope) et, s'il en existe, les phrases de dérogation recopiées telles quelles du texte officiel;EXCEPTION_ADJUDICATION;"`source_checked` → `validated` possible si la décision est signée ; `gold_ready` est alors recalculé, il n'est pas accordé par la décision"
TAXO-R-003;SFDR;P0;EXCEPTION_UNRESOLVED;`HUMAN_REVIEW_REQUIRED` (statut_non_validated) — règle en « source_checked » : seul « validated » ancre une famille;Règlement (UE) 2020/852 (Taxonomie);Articles 17 et 18;;TEXTE_RECUPERE;CL-32020R0852-ART17-ET-18-EXC;Une dérogation, exclusion, exemption ou condition applicable à TAXO-R-003 existe-t-elle dans le périmètre indiqué — Articles 17 et 18, un autre article de Règlement (UE) 2020/852 (Taxonomie), ou un acte pris sur son fondement — ou n'en existe-t-il aucune dans ce périmètre ?;le périmètre réellement examiné (source_scope) et, s'il en existe, les phrases de dérogation recopiées telles quelles du texte officiel;EXCEPTION_ADJUDICATION;"`source_checked` → `validated` possible si la décision est signée ; `gold_ready` est alors recalculé, il n'est pas accordé par la décision"
AMF-R-002;AMF;P1;EXCEPTION_UNRESOLVED;`HUMAN_REVIEW_REQUIRED` (statut_non_validated) — règle en « source_checked » : seul « validated » ancre une famille;Position-recommandation AMF DOC-2020-03;Position-recommandation DOC-2020-03;;TEXTE_RECUPERE;CL-DOC-2020-03-ARTPOSITION-RECOMMANDATION-EXC;Une dérogation, exclusion, exemption ou condition applicable à AMF-R-002 existe-t-elle dans le périmètre indiqué — Position-recommandation DOC-2020-03, un autre article de Position-recommandation AMF DOC-2020-03, ou un acte pris sur son fondement — ou n'en existe-t-il aucune dans ce périmètre ?;le périmètre réellement examiné (source_scope) et, s'il en existe, les phrases de dérogation recopiées telles quelles du texte officiel;EXCEPTION_ADJUDICATION;"`source_checked` → `validated` possible si la décision est signée ; `gold_ready` est alors recalculé, il n'est pas accordé par la décision"
AMF-R-003;AMF;P1;EXCEPTION_UNRESOLVED;`HUMAN_REVIEW_REQUIRED` (statut_non_validated) — règle en « source_checked » : seul « validated » ancre une famille;Position-recommandation AMF DOC-2020-03;Position-recommandation DOC-2020-03;;TEXTE_RECUPERE;CL-DOC-2020-03-ARTPOSITION-RECOMMANDATION-EXC;Une dérogation, exclusion, exemption ou condition applicable à AMF-R-003 existe-t-elle dans le périmètre indiqué — Position-recommandation DOC-2020-03, un autre article de Position-recommandation AMF DOC-2020-03, ou un acte pris sur son fondement — ou n'en existe-t-il aucune dans ce périmètre ?;le périmètre réellement examiné (source_scope) et, s'il en existe, les phrases de dérogation recopiées telles quelles du texte officiel;EXCEPTION_ADJUDICATION;"`source_checked` → `validated` possible si la décision est signée ; `gold_ready` est alors recalculé, il n'est pas accordé par la décision"
AMF-R-005;AMF;P1;SOURCE_INCOMPLETE;`HUMAN_REVIEW_REQUIRED` (statut_non_validated) — règle en « draft » : seul « validated » ancre une famille;Règlement général de l'AMF;Règlement général;;DOCUMENT_INTROUVABLE;CL-RGA-ARTREGLEMENT-GENERAL-SRC;Le texte de Règlement général de Règlement général de l'AMF, consulté hors de cet environnement, soutient-il l'énoncé de AMF-R-005, ou l'énoncé vise-t-il une autre disposition ?;le document réellement en vigueur, son titre exact, sa référence et l'emplacement constaté — portés au dossier de vérification, jamais inscrits d'office dans la règle;SOURCE_REANCHORING;`draft` → `source_checked` si la consultation est signée. Les blocages que le texte révélera ne sont pas connus avant lecture : l'audit les fera apparaître, ils ne se devinent pas ici
DORA-R-004;DORA;P1;EXCEPTION_UNRESOLVED;`HUMAN_REVIEW_REQUIRED` (statut_non_validated) — règle en « source_checked » : seul « validated » ancre une famille;Règlement (UE) 2022/2554 (DORA);Articles 8 à 13;;TEXTE_RECUPERE;CL-32022R2554-ART8-A-13-EXC;Une dérogation, exclusion, exemption ou condition applicable à DORA-R-004 existe-t-elle dans le périmètre indiqué — Articles 8 à 13, un autre article de Règlement (UE) 2022/2554 (DORA), ou un acte pris sur son fondement — ou n'en existe-t-il aucune dans ce périmètre ?;le périmètre réellement examiné (source_scope) et, s'il en existe, les phrases de dérogation recopiées telles quelles du texte officiel;EXCEPTION_ADJUDICATION;"`source_checked` → `validated` possible si la décision est signée ; `gold_ready` est alors recalculé, il n'est pas accordé par la décision"
DORA-R-006;DORA;P1;EXCEPTION_UNRESOLVED;`HUMAN_REVIEW_REQUIRED` (statut_non_validated) — règle en « source_checked » : seul « validated » ancre une famille;Règlement (UE) 2022/2554 (DORA);Article 17;;TEXTE_RECUPERE;CL-32022R2554-ART17-EXC;Une dérogation, exclusion, exemption ou condition applicable à DORA-R-006 existe-t-elle dans le périmètre indiqué — Article 17, un autre article de Règlement (UE) 2022/2554 (DORA), ou un acte pris sur son fondement — ou n'en existe-t-il aucune dans ce périmètre ?;le périmètre réellement examiné (source_scope) et, s'il en existe, les phrases de dérogation recopiées telles quelles du texte officiel;EXCEPTION_ADJUDICATION;"`source_checked` → `validated` possible si la décision est signée ; `gold_ready` est alors recalculé, il n'est pas accordé par la décision"
DORA-R-012;DORA;P1;EXCEPTION_UNRESOLVED;`HUMAN_REVIEW_REQUIRED` (statut_non_validated) — règle en « source_checked » : seul « validated » ancre une famille;Règlement (UE) 2022/2554 (DORA);Article 31;;TEXTE_RECUPERE;CL-32022R2554-ART31-EXC;Une dérogation, exclusion, exemption ou condition applicable à DORA-R-012 existe-t-elle dans le périmètre indiqué — Article 31, un autre article de Règlement (UE) 2022/2554 (DORA), ou un acte pris sur son fondement — ou n'en existe-t-il aucune dans ce périmètre ?;le périmètre réellement examiné (source_scope) et, s'il en existe, les phrases de dérogation recopiées telles quelles du texte officiel;EXCEPTION_ADJUDICATION;"`source_checked` → `validated` possible si la décision est signée ; `gold_ready` est alors recalculé, il n'est pas accordé par la décision"
DORA-R-013;DORA;P1;EXCEPTION_UNRESOLVED;`TEMPORAL_UNRESOLVED` (temporalite_etablie) — temporalité « IN_FORCE » non établie : la date d'appréciation de la question serait arbitraire | `HUMAN_REVIEW_REQUIRED` (statut_non_validated) — règle en « source_checked » : seul « validated » ancre une famille;Règlement (UE) 2022/2554 (DORA);Article 64;;TEXTE_RECUPERE;CL-32022R2554-ART64-EXC;Une dérogation, exclusion, exemption ou condition applicable à DORA-R-013 existe-t-elle dans le périmètre indiqué — Article 64, un autre article de Règlement (UE) 2022/2554 (DORA), ou un acte pris sur son fondement — ou n'en existe-t-il aucune dans ce périmètre ?;le périmètre réellement examiné (source_scope) et, s'il en existe, les phrases de dérogation recopiées telles quelles du texte officiel;EXCEPTION_ADJUDICATION;statut inchangé (`source_checked`) : 1 blocage(s) de fond resteraient après cette décision
