rule_id;domaine;source;article;version;statut;exceptions;temporalite;probleme;classement;priorite;concordance;article_trouve;chiffres_absents;verdict_propose;celex_consulte;journal_officiel;recupere_depuis;sha256_texte
DORA-R-003;DORA;Règlement (UE) 2022/2554 (DORA);Article 6;2020-01-01;draft;unknown;in_force;exceptions jamais cherchées : à trancher entre « listed » et « none_identified » avant toute validation;REQUIRES_HUMAN_REVIEW;CRITICAL;0.75;oui;;confirme;32022R2554;L 333;http://publications.europa.eu/resource/cellar/0caf473a-85bd-11ed-9887-01aa75ed71a1.0009.02/DOC_1;f8752b0217d49aaeee70ec14262cc24feeb282a425b4d170d073eb7439ba41b2
DORA-R-010;DORA;Règlement (UE) 2022/2554 (DORA);Article 28;2020-01-01;draft;unknown;in_force;exceptions jamais cherchées : à trancher entre « listed » et « none_identified » avant toute validation;REQUIRES_HUMAN_REVIEW;CRITICAL;0.77;oui;;confirme;32022R2554;L 333;http://publications.europa.eu/resource/cellar/0caf473a-85bd-11ed-9887-01aa75ed71a1.0009.02/DOC_1;f8752b0217d49aaeee70ec14262cc24feeb282a425b4d170d073eb7439ba41b2
DORA-R-011;DORA;Règlement (UE) 2022/2554 (DORA);Article 30;2020-01-01;draft;unknown;in_force;exceptions jamais cherchées : à trancher entre « listed » et « none_identified » avant toute validation;REQUIRES_HUMAN_REVIEW;CRITICAL;0.75;oui;;confirme;32022R2554;L 333;http://publications.europa.eu/resource/cellar/0caf473a-85bd-11ed-9887-01aa75ed71a1.0009.02/DOC_1;f8752b0217d49aaeee70ec14262cc24feeb282a425b4d170d073eb7439ba41b2
LCBFT-R-001;LCBFT;Code monétaire et financier;Article L.561-2;2020-01-01;draft;unknown;in_force;Légifrance répond HTTP 403 depuis cet environnement : le Code monétaire et financier ne peut pas être consulté ici;BLOCKED;CRITICAL;0.00;non;;;;;;
LCBFT-R-002;LCBFT;Code monétaire et financier;Article L.561-4-1;2020-01-01;draft;unknown;in_force;Légifrance répond HTTP 403 depuis cet environnement : le Code monétaire et financier ne peut pas être consulté ici;BLOCKED;CRITICAL;0.00;non;;;;;;
LCBFT-R-003;LCBFT;Code monétaire et financier;Article L.561-5;2020-01-01;draft;unknown;in_force;Légifrance répond HTTP 403 depuis cet environnement : le Code monétaire et financier ne peut pas être consulté ici;BLOCKED;CRITICAL;0.00;non;;;;;;
LCBFT-R-006;LCBFT;Code monétaire et financier;Article L.561-6;2020-01-01;draft;unknown;in_force;Légifrance répond HTTP 403 depuis cet environnement : le Code monétaire et financier ne peut pas être consulté ici;BLOCKED;CRITICAL;0.00;non;;;;;;
LCBFT-R-007;LCBFT;Code monétaire et financier;Article L.561-10;2020-01-01;draft;unknown;in_force;Légifrance répond HTTP 403 depuis cet environnement : le Code monétaire et financier ne peut pas être consulté ici;BLOCKED;CRITICAL;0.00;non;;;;;;
LCBFT-R-008;LCBFT;Code monétaire et financier;Articles L.561-10 et R.561-18;2020-01-01;draft;unknown;in_force;Légifrance répond HTTP 403 depuis cet environnement : le Code monétaire et financier ne peut pas être consulté ici;BLOCKED;CRITICAL;0.00;non;;;;;;
LCBFT-R-009;LCBFT;Code monétaire et financier;Article L.561-15;2020-01-01;draft;unknown;in_force;Légifrance répond HTTP 403 depuis cet environnement : le Code monétaire et financier ne peut pas être consulté ici;BLOCKED;CRITICAL;0.00;non;;;;;;
LCBFT-R-010;LCBFT;Code monétaire et financier;Article L.561-18;2020-01-01;draft;unknown;in_force;Légifrance répond HTTP 403 depuis cet environnement : le Code monétaire et financier ne peut pas être consulté ici;BLOCKED;CRITICAL;0.00;non;;;;;;
LCBFT-R-012;LCBFT;Code monétaire et financier;Article L.561-8;2020-01-01;draft;unknown;in_force;Légifrance répond HTTP 403 depuis cet environnement : le Code monétaire et financier ne peut pas être consulté ici;BLOCKED;CRITICAL;0.00;non;;;;;;
MIFID-R-002;MIFID;Directive 2014/65/UE (MIFID II);Article 25;2020-01-01;draft;unknown;in_force;exceptions jamais cherchées : à trancher entre « listed » et « none_identified » avant toute validation;REQUIRES_HUMAN_REVIEW;CRITICAL;0.93;oui;;confirme;32014L0065;L 173;http://publications.europa.eu/resource/cellar/056587cf-f1f8-11e3-8cd4-01aa75ed71a1.0009.03/DOC_1;efab676c6bb220ff87cd9fc4a2c44b98a913086342657411e8c327b4ba4e0d59
MIFID-R-003;MIFID;Directive 2014/65/UE (MIFID II);Article 25;2020-01-01;draft;unknown;in_force;exceptions jamais cherchées : à trancher entre « listed » et « none_identified » avant toute validation;REQUIRES_HUMAN_REVIEW;CRITICAL;0.84;oui;;confirme;32014L0065;L 173;http://publications.europa.eu/resource/cellar/056587cf-f1f8-11e3-8cd4-01aa75ed71a1.0009.03/DOC_1;efab676c6bb220ff87cd9fc4a2c44b98a913086342657411e8c327b4ba4e0d59
MIFID-R-004;MIFID;Directive 2014/65/UE (MIFID II);Article 25;2020-01-01;draft;unknown;in_force;exceptions jamais cherchées : à trancher entre « listed » et « none_identified » avant toute validation;REQUIRES_HUMAN_REVIEW;CRITICAL;0.92;oui;;confirme;32014L0065;L 173;http://publications.europa.eu/resource/cellar/056587cf-f1f8-11e3-8cd4-01aa75ed71a1.0009.03/DOC_1;efab676c6bb220ff87cd9fc4a2c44b98a913086342657411e8c327b4ba4e0d59
MIFID-R-006;MIFID;Règlement délégué (UE) 2017/565, modifié par le règlement délégué (UE) 2021/1253;Article 2 et article 54 du règlement délégué (UE) 2017/565 modifié;2020-01-01;draft;unknown;in_force;"l'URL désigne l'acte 32021R1253 alors que la source cite 32017R0565 : vérification conduite contre l'acte cité ; la source dit l'acte modifié, mais aucune version consolidée au 2020-01-01 n'existe (02017R0565-20200101) : la date de consolidation applicable doit être établie, sans quoi la règle est vérifiée contre le texte d'origine ; ancrage « Article 2 et article 54 du règlement délégué (UE) 2017/565 modifié » : 2 articles couverts (2, 54), à découper avant qu'un gold puisse le citer ; exceptions jamais cherchées : à trancher entre « listed » et « none_identified » avant toute validation";REQUIRES_HUMAN_REVIEW;CRITICAL;0.54;oui;;confirme;32017R0565;L 87;http://publications.europa.eu/resource/cellar/7c37494d-15d3-11e7-808e-01aa75ed71a1.0009.03/DOC_1;7658e706e1aba156afef15dc8981bf0fedc49a563abb1896dfefc53760a54cc3
SFDR-R-005;SFDR;Règlement (UE) 2019/2088 (SFDR);Article 6;2020-01-01;draft;unknown;in_force;exceptions jamais cherchées : à trancher entre « listed » et « none_identified » avant toute validation;REQUIRES_HUMAN_REVIEW;CRITICAL;0.77;oui;;confirme;32019R2088;L 317;http://publications.europa.eu/resource/cellar/4f50e277-1a53-11ea-8c1f-01aa75ed71a1.0009.02/DOC_1;cff1f7f22f10c0ebf56cdc253fc7bf59e9afa416dd59f15b922c6735b8e3bdd7
SFDR-R-009;SFDR;Règlement (UE) 2019/2088 (SFDR);Article 9;2020-01-01;draft;unknown;in_force;exceptions jamais cherchées : à trancher entre « listed » et « none_identified » avant toute validation;REQUIRES_HUMAN_REVIEW;CRITICAL;0.85;oui;;confirme;32019R2088;L 317;http://publications.europa.eu/resource/cellar/4f50e277-1a53-11ea-8c1f-01aa75ed71a1.0009.02/DOC_1;cff1f7f22f10c0ebf56cdc253fc7bf59e9afa416dd59f15b922c6735b8e3bdd7
TAXO-R-001;SFDR;Règlement (UE) 2020/852 (Taxonomie);Article 3;2020-01-01;draft;unknown;in_force;exceptions jamais cherchées : à trancher entre « listed » et « none_identified » avant toute validation;REQUIRES_HUMAN_REVIEW;CRITICAL;0.61;oui;;confirme;32020R0852;L 198;http://publications.europa.eu/resource/cellar/e5ba36a8-b454-11ea-bb7a-01aa75ed71a1.0009.03/DOC_1;73a4e924764775e1c61ccd231f7390ccc2c1dc066525a0eb9e52727d4f1e1cfb
TAXO-R-003;SFDR;Règlement (UE) 2020/852 (Taxonomie);Articles 17 et 18;2020-01-01;draft;unknown;in_force;"ancrage « Articles 17 et 18 » : 2 articles couverts (17, 18), à découper avant qu'un gold puisse le citer ; exceptions jamais cherchées : à trancher entre « listed » et « none_identified » avant toute validation";REQUIRES_HUMAN_REVIEW;CRITICAL;0.60;oui;;confirme;32020R0852;L 198;http://publications.europa.eu/resource/cellar/e5ba36a8-b454-11ea-bb7a-01aa75ed71a1.0009.03/DOC_1;73a4e924764775e1c61ccd231f7390ccc2c1dc066525a0eb9e52727d4f1e1cfb
SFDR-R-001;SFDR;Règlement (UE) 2019/2088 (SFDR);Article 2;2020-01-01;draft;none_identified;in_force;;REQUIRES_HUMAN_REVIEW;CRITICAL;0.79;oui;;confirme;32019R2088;L 317;http://publications.europa.eu/resource/cellar/4f50e277-1a53-11ea-8c1f-01aa75ed71a1.0009.02/DOC_1;cff1f7f22f10c0ebf56cdc253fc7bf59e9afa416dd59f15b922c6735b8e3bdd7
AMF-R-002;AMF;Position-recommandation AMF DOC-2020-03;Position-recommandation DOC-2020-03;2020-01-01;draft;unknown;in_force;"exceptions jamais cherchées : à trancher entre « listed » et « none_identified » avant toute validation ; source doctrinale : elle éclaire l'application d'un texte, elle ne vaut pas preuve principale pour une disposition législative";REQUIRES_HUMAN_REVIEW;HIGH;0.61;oui;;confirme;;;https://www.amf-france.org/fr/reglementation/doctrine/doc-2020-03;d6a313463d04d831b706e9c8781473371c53168fa4f0f9673851c4303ce097b7
AMF-R-003;AMF;Position-recommandation AMF DOC-2020-03;Position-recommandation DOC-2020-03;2020-01-01;draft;unknown;in_force;"exceptions jamais cherchées : à trancher entre « listed » et « none_identified » avant toute validation ; source doctrinale : elle éclaire l'application d'un texte, elle ne vaut pas preuve principale pour une disposition législative";REQUIRES_HUMAN_REVIEW;HIGH;0.60;oui;;confirme;;;https://www.amf-france.org/fr/reglementation/doctrine/doc-2020-03;d6a313463d04d831b706e9c8781473371c53168fa4f0f9673851c4303ce097b7
AMF-R-005;AMF;Règlement général de l'AMF;Règlement général;2020-01-01;draft;unknown;in_force;texte primaire non récupéré : https://www.amf-france.org/fr/reglementation/reglement-general : HTTPError — HTTP Error 404: Not Found;BLOCKED;HIGH;0.00;non;;;;;;
DORA-R-004;DORA;Règlement (UE) 2022/2554 (DORA);Articles 8 à 13;2020-01-01;draft;unknown;in_force;"ancrage « Articles 8 à 13 » : 6 articles couverts (8, 9, 10, 11, 12, 13), à découper avant qu'un gold puisse le citer ; exceptions jamais cherchées : à trancher entre « listed » et « none_identified » avant toute validation";REQUIRES_HUMAN_REVIEW;HIGH;0.95;oui;;confirme;32022R2554;L 333;http://publications.europa.eu/resource/cellar/0caf473a-85bd-11ed-9887-01aa75ed71a1.0009.02/DOC_1;f8752b0217d49aaeee70ec14262cc24feeb282a425b4d170d073eb7439ba41b2
DORA-R-005;DORA;Règlement (UE) 2022/2554 (DORA);Article 16;2020-01-01;draft;unknown;in_force;exceptions jamais cherchées : à trancher entre « listed » et « none_identified » avant toute validation;REQUIRES_HUMAN_REVIEW;HIGH;0.64;oui;;confirme;32022R2554;L 333;http://publications.europa.eu/resource/cellar/0caf473a-85bd-11ed-9887-01aa75ed71a1.0009.02/DOC_1;f8752b0217d49aaeee70ec14262cc24feeb282a425b4d170d073eb7439ba41b2
DORA-R-006;DORA;Règlement (UE) 2022/2554 (DORA);Article 17;2020-01-01;draft;unknown;in_force;exceptions jamais cherchées : à trancher entre « listed » et « none_identified » avant toute validation;REQUIRES_HUMAN_REVIEW;HIGH;0.67;oui;;confirme;32022R2554;L 333;http://publications.europa.eu/resource/cellar/0caf473a-85bd-11ed-9887-01aa75ed71a1.0009.02/DOC_1;f8752b0217d49aaeee70ec14262cc24feeb282a425b4d170d073eb7439ba41b2
DORA-R-009;DORA;Règlement (UE) 2022/2554 (DORA);Articles 24 à 26;2020-01-01;draft;unknown;in_force;"ancrage « Articles 24 à 26 » : 3 articles couverts (24, 25, 26), à découper avant qu'un gold puisse le citer ; exceptions jamais cherchées : à trancher entre « listed » et « none_identified » avant toute validation";REQUIRES_HUMAN_REVIEW;HIGH;0.79;oui;;confirme;32022R2554;L 333;http://publications.europa.eu/resource/cellar/0caf473a-85bd-11ed-9887-01aa75ed71a1.0009.02/DOC_1;f8752b0217d49aaeee70ec14262cc24feeb282a425b4d170d073eb7439ba41b2
DORA-R-012;DORA;Règlement (UE) 2022/2554 (DORA);Article 31;2020-01-01;draft;unknown;in_force;exceptions jamais cherchées : à trancher entre « listed » et « none_identified » avant toute validation;REQUIRES_HUMAN_REVIEW;HIGH;0.57;oui;;confirme;32022R2554;L 333;http://publications.europa.eu/resource/cellar/0caf473a-85bd-11ed-9887-01aa75ed71a1.0009.02/DOC_1;f8752b0217d49aaeee70ec14262cc24feeb282a425b4d170d073eb7439ba41b2
LCBFT-R-004;LCBFT;Code monétaire et financier;Article L.561-5-1;2020-01-01;draft;unknown;in_force;Légifrance répond HTTP 403 depuis cet environnement : le Code monétaire et financier ne peut pas être consulté ici;BLOCKED;HIGH;0.00;non;;;;;;
LCBFT-R-011;LCBFT;Code monétaire et financier;Article L.561-12;2020-01-01;draft;unknown;in_force;Légifrance répond HTTP 403 depuis cet environnement : le Code monétaire et financier ne peut pas être consulté ici;BLOCKED;HIGH;0.00;non;;;;;;
LCBFT-R-013;LCBFT;Directive (UE) 2015/849, modifiée par la directive (UE) 2018/843;Ensemble de la directive;2020-01-01;draft;unknown;in_force;"la source dit l'acte modifié, mais aucune version consolidée au 2020-01-01 n'existe (02015L0849-20200101) : la date de consolidation applicable doit être établie, sans quoi la règle est vérifiée contre le texte d'origine ; ancrage « Ensemble de la directive » : aucun article désigné, la règle est vérifiée contre l'acte entier et aucun gold ne pourra citer sa disposition ; exceptions jamais cherchées : à trancher entre « listed » et « none_identified » avant toute validation";REQUIRES_HUMAN_REVIEW;HIGH;0.84;oui;;confirme;32015L0849;L 141;http://publications.europa.eu/resource/cellar/0bff31ef-0b49-11e5-8817-01aa75ed71a1.0009.03/DOC_1;ae8a5c8afcb3bd65d9732889666cc4f3230d9f1c0d48b796945e473b0ad6e71a
MIFID-R-001;MIFID;Directive 2014/65/UE (MIFID II);Article 24;2020-01-01;draft;unknown;in_force;exceptions jamais cherchées : à trancher entre « listed » et « none_identified » avant toute validation;REQUIRES_HUMAN_REVIEW;HIGH;0.79;oui;;confirme;32014L0065;L 173;http://publications.europa.eu/resource/cellar/056587cf-f1f8-11e3-8cd4-01aa75ed71a1.0009.03/DOC_1;efab676c6bb220ff87cd9fc4a2c44b98a913086342657411e8c327b4ba4e0d59
MIFID-R-005;MIFID;Directive 2014/65/UE (MIFID II);Article 25;2020-01-01;draft;unknown;in_force;exceptions jamais cherchées : à trancher entre « listed » et « none_identified » avant toute validation;REQUIRES_HUMAN_REVIEW;HIGH;0.94;oui;;confirme;32014L0065;L 173;http://publications.europa.eu/resource/cellar/056587cf-f1f8-11e3-8cd4-01aa75ed71a1.0009.03/DOC_1;efab676c6bb220ff87cd9fc4a2c44b98a913086342657411e8c327b4ba4e0d59
MIFID-R-008;MIFID;Directive 2014/65/UE (MIFID II);Article 16;2020-01-01;draft;unknown;in_force;exceptions jamais cherchées : à trancher entre « listed » et « none_identified » avant toute validation;REQUIRES_HUMAN_REVIEW;HIGH;0.78;oui;;confirme;32014L0065;L 173;http://publications.europa.eu/resource/cellar/056587cf-f1f8-11e3-8cd4-01aa75ed71a1.0009.03/DOC_1;efab676c6bb220ff87cd9fc4a2c44b98a913086342657411e8c327b4ba4e0d59
MIFID-R-009;MIFID;Directive 2014/65/UE (MIFID II);Article 27;2020-01-01;draft;unknown;in_force;exceptions jamais cherchées : à trancher entre « listed » et « none_identified » avant toute validation;REQUIRES_HUMAN_REVIEW;HIGH;0.91;oui;;confirme;32014L0065;L 173;http://publications.europa.eu/resource/cellar/056587cf-f1f8-11e3-8cd4-01aa75ed71a1.0009.03/DOC_1;efab676c6bb220ff87cd9fc4a2c44b98a913086342657411e8c327b4ba4e0d59
MIFID-R-010;MIFID;Directive 2014/65/UE (MIFID II);Article 9;2020-01-01;draft;unknown;in_force;exceptions jamais cherchées : à trancher entre « listed » et « none_identified » avant toute validation;REQUIRES_HUMAN_REVIEW;MEDIUM;0.72;oui;;confirme;32014L0065;L 173;http://publications.europa.eu/resource/cellar/056587cf-f1f8-11e3-8cd4-01aa75ed71a1.0009.03/DOC_1;efab676c6bb220ff87cd9fc4a2c44b98a913086342657411e8c327b4ba4e0d59
MIFID-R-011;MIFID;Règlement délégué (UE) 2017/565;Article 54;2020-01-01;draft;unknown;in_force;"énoncé peu corroboré par le texte cité (36% du vocabulaire retrouvé) : la règle parle peut-être d'autre chose ; exceptions jamais cherchées : à trancher entre « listed » et « none_identified » avant toute validation";DRAFT;HIGH;0.36;oui;;corrige;32017R0565;L 87;http://publications.europa.eu/resource/cellar/7c37494d-15d3-11e7-808e-01aa75ed71a1.0009.03/DOC_1;7658e706e1aba156afef15dc8981bf0fedc49a563abb1896dfefc53760a54cc3
SFDR-R-002;SFDR;Règlement (UE) 2019/2088 (SFDR);Article 3;2020-01-01;draft;unknown;in_force;exceptions jamais cherchées : à trancher entre « listed » et « none_identified » avant toute validation;REQUIRES_HUMAN_REVIEW;HIGH;0.84;oui;;confirme;32019R2088;L 317;http://publications.europa.eu/resource/cellar/4f50e277-1a53-11ea-8c1f-01aa75ed71a1.0009.02/DOC_1;cff1f7f22f10c0ebf56cdc253fc7bf59e9afa416dd59f15b922c6735b8e3bdd7
SFDR-R-004;SFDR;Règlement (UE) 2019/2088 (SFDR);Article 5;2020-01-01;draft;unknown;in_force;exceptions jamais cherchées : à trancher entre « listed » et « none_identified » avant toute validation;REQUIRES_HUMAN_REVIEW;MEDIUM;0.71;oui;;confirme;32019R2088;L 317;http://publications.europa.eu/resource/cellar/4f50e277-1a53-11ea-8c1f-01aa75ed71a1.0009.02/DOC_1;cff1f7f22f10c0ebf56cdc253fc7bf59e9afa416dd59f15b922c6735b8e3bdd7
SFDR-R-006;SFDR;Règlement (UE) 2019/2088 (SFDR);Article 7;2020-01-01;draft;unknown;in_force;exceptions jamais cherchées : à trancher entre « listed » et « none_identified » avant toute validation;REQUIRES_HUMAN_REVIEW;HIGH;0.62;oui;;confirme;32019R2088;L 317;http://publications.europa.eu/resource/cellar/4f50e277-1a53-11ea-8c1f-01aa75ed71a1.0009.02/DOC_1;cff1f7f22f10c0ebf56cdc253fc7bf59e9afa416dd59f15b922c6735b8e3bdd7
SFDR-R-010;SFDR;Règlement (UE) 2019/2088 (SFDR);Article 10;2020-01-01;draft;unknown;in_force;exceptions jamais cherchées : à trancher entre « listed » et « none_identified » avant toute validation;REQUIRES_HUMAN_REVIEW;MEDIUM;0.70;oui;;confirme;32019R2088;L 317;http://publications.europa.eu/resource/cellar/4f50e277-1a53-11ea-8c1f-01aa75ed71a1.0009.02/DOC_1;cff1f7f22f10c0ebf56cdc253fc7bf59e9afa416dd59f15b922c6735b8e3bdd7
SFDR-R-011;SFDR;Règlement (UE) 2019/2088 (SFDR);Article 11;2020-01-01;draft;unknown;in_force;exceptions jamais cherchées : à trancher entre « listed » et « none_identified » avant toute validation;REQUIRES_HUMAN_REVIEW;HIGH;0.80;oui;;confirme;32019R2088;L 317;http://publications.europa.eu/resource/cellar/4f50e277-1a53-11ea-8c1f-01aa75ed71a1.0009.02/DOC_1;cff1f7f22f10c0ebf56cdc253fc7bf59e9afa416dd59f15b922c6735b8e3bdd7
SFDR-R-012;SFDR;Règlement (UE) 2019/2088 (SFDR);Article 12;2020-01-01;draft;unknown;in_force;exceptions jamais cherchées : à trancher entre « listed » et « none_identified » avant toute validation;REQUIRES_HUMAN_REVIEW;MEDIUM;0.67;oui;;confirme;32019R2088;L 317;http://publications.europa.eu/resource/cellar/4f50e277-1a53-11ea-8c1f-01aa75ed71a1.0009.02/DOC_1;cff1f7f22f10c0ebf56cdc253fc7bf59e9afa416dd59f15b922c6735b8e3bdd7
SFDR-R-013;SFDR;Règlement (UE) 2019/2088 (SFDR);Article 13;2020-01-01;draft;unknown;in_force;exceptions jamais cherchées : à trancher entre « listed » et « none_identified » avant toute validation;REQUIRES_HUMAN_REVIEW;HIGH;0.78;oui;;confirme;32019R2088;L 317;http://publications.europa.eu/resource/cellar/4f50e277-1a53-11ea-8c1f-01aa75ed71a1.0009.02/DOC_1;cff1f7f22f10c0ebf56cdc253fc7bf59e9afa416dd59f15b922c6735b8e3bdd7
SFDR-R-014;SFDR;Règlement délégué (UE) 2022/1288 (RTS SFDR);Ensemble du règlement délégué;2020-01-01;draft;unknown;in_force;"ancrage « Ensemble du règlement délégué » : aucun article désigné, la règle est vérifiée contre l'acte entier et aucun gold ne pourra citer sa disposition ; exceptions jamais cherchées : à trancher entre « listed » et « none_identified » avant toute validation";REQUIRES_HUMAN_REVIEW;HIGH;0.87;oui;;confirme;32022R1288;L 196;http://publications.europa.eu/resource/cellar/488221b0-0bb4-11ed-b11c-01aa75ed71a1.0009.03/DOC_1;cc1a7c01942d115d5f3f2da887a3ffac993cfe35c50888130b74ca5e13d63300
DORA-R-013;DORA;Règlement (UE) 2022/2554 (DORA);Article 64;2020-01-01;draft;none_identified;in_force;;REQUIRES_HUMAN_REVIEW;HIGH;0.62;oui;;confirme;32022R2554;L 333;http://publications.europa.eu/resource/cellar/0caf473a-85bd-11ed-9887-01aa75ed71a1.0009.02/DOC_1;f8752b0217d49aaeee70ec14262cc24feeb282a425b4d170d073eb7439ba41b2
TAXO-R-002;SFDR;Règlement (UE) 2020/852 (Taxonomie);Article 9;2020-01-01;draft;none_identified;in_force;;REQUIRES_HUMAN_REVIEW;HIGH;0.96;oui;;confirme;32020R0852;L 198;http://publications.europa.eu/resource/cellar/e5ba36a8-b454-11ea-bb7a-01aa75ed71a1.0009.03/DOC_1;73a4e924764775e1c61ccd231f7390ccc2c1dc066525a0eb9e52727d4f1e1cfb
