domain;rule_id;rule_type;rule_status;rule_priority;family_code;family_kind;family_id;family_score;retained;question_type;reasoning_trap;predicted_difficulty;priority;candidate_family_status;twin_group_id;twin_type;concept_tested;redundancy_group_id;family_rationale
AMF;AMF-R-001;THRESHOLD;draft;CRITICAL;F11;NEGATIVE_ASSERTION;AMF-R-001-F11;2;True;false_premise;NEGATIVE_ASSERTION;4;CRITICAL;blocked;;;Position-recommandation DOC-2020-03 = Condition d'une communication centrale sur les critères extra-financiers;RG-AMF-POSITION-RECOMMANDATION-THRESHOLD;1 affirmation(s) négative(s) identifiée(s), aucune encore vérifiée absente : la famille est prête mais pas sourçable
AMF;AMF-R-001;THRESHOLD;draft;CRITICAL;F12;MISSING_INFORMATION;AMF-R-001-F12;3;True;calibrated_abstention;MISSING_INFORMATION;4;HIGH;blocked;;;Position-recommandation DOC-2020-03 = Condition d'une communication centrale sur les critères extra-financiers;RG-AMF-POSITION-RECOMMANDATION-THRESHOLD;règle de type THRESHOLD : on peut nommer exactement la donnée qui manque pour conclure
AMF;AMF-R-002;OBLIGATION;draft;HIGH;F1;FACT_RECALL;AMF-R-002-F1;2;True;fact;NONE;2;MEDIUM;blocked;;;Position-recommandation DOC-2020-03 = Proportionnalité de la communication extra-financière;RG-AMF-POSITION-RECOMMANDATION-OBLIGATION;l'obligation elle-même se restitue : qui doit quoi, envers qui
AMF;AMF-R-002;OBLIGATION;draft;HIGH;F2;QUALIFICATION;AMF-R-002-F2;3;True;qualification;NONE;4;HIGH;blocked;;;Position-recommandation DOC-2020-03 = Proportionnalité de la communication extra-financière;RG-AMF-POSITION-RECOMMANDATION-OBLIGATION;un cas concret tranche : la règle dit qui est concerné et ce qui doit être fait, l'application est vérifiable
AMF;AMF-R-002;OBLIGATION;draft;HIGH;F3;CALCULATION;;0;False;calculation;NONE;3;HIGH;not_retained;;;Position-recommandation DOC-2020-03 = Proportionnalité de la communication extra-financière;RG-AMF-POSITION-RECOMMANDATION-OBLIGATION;aucune computation réelle : un calcul serait fabriqué pour la question
AMF;AMF-R-002;OBLIGATION;draft;HIGH;F4;FALSE_PREMISE;AMF-R-002-F4;2;True;false_premise;CONCEPT_CONFLATION;4;HIGH;blocked;TG-AMF-R-002;FALSE_TRUE;Position-recommandation DOC-2020-03 = Proportionnalité de la communication extra-financière;RG-AMF-POSITION-RECOMMANDATION-OBLIGATION;1 confusion(s) typique(s) documentée(s) : chacune se retourne en prémisse fausse plausible
AMF;AMF-R-002;OBLIGATION;draft;HIGH;F5;TRUE_PREMISE_ADVERSARIAL;AMF-R-002-F5;2;True;true_premise_adversarial;NONE;4;MEDIUM;blocked;TG-AMF-R-002;FALSE_TRUE;Position-recommandation DOC-2020-03 = Proportionnalité de la communication extra-financière;RG-AMF-POSITION-RECOMMANDATION-OBLIGATION;jumeau obligatoire de la fausse prémisse : sans lui, le modèle apprend « question adversariale ⇒ réfuter » et gagne des points en réfutant le vrai
AMF;AMF-R-002;OBLIGATION;draft;HIGH;F6;CALIBRATED_ABSTENTION;;1;False;calibrated_abstention;MISSING_INFORMATION;4;MEDIUM;not_retained;;;Position-recommandation DOC-2020-03 = Proportionnalité de la communication extra-financière;RG-AMF-POSITION-RECOMMANDATION-OBLIGATION;exceptions inconnues : on ne peut pas affirmer qu'un cas est indécidable tant qu'on ignore ce que le texte prévoit
AMF;AMF-R-002;OBLIGATION;draft;HIGH;F7;CONDITIONAL_ANSWER;;0;False;qualification;NONE;3;HIGH;not_retained;;;Position-recommandation DOC-2020-03 = Proportionnalité de la communication extra-financière;RG-AMF-POSITION-RECOMMANDATION-OBLIGATION;règle sans branche : une réponse conditionnelle serait un artifice
AMF;AMF-R-002;OBLIGATION;draft;HIGH;F8;TEMPORAL;;0;False;fact;TEMPORAL_CONFUSION;4;MEDIUM;not_retained;;;Position-recommandation DOC-2020-03 = Proportionnalité de la communication extra-financière;RG-AMF-POSITION-RECOMMANDATION-OBLIGATION;règle stable et non bornée : une question temporelle porterait sur une date sans enjeu
AMF;AMF-R-002;OBLIGATION;draft;HIGH;F9;CROSS_REGULATORY;AMF-R-002-F9;2;True;qualification;CROSS_REGULATORY_CONFLATION;5;HIGH;blocked;;;Position-recommandation DOC-2020-03 = Proportionnalité de la communication extra-financière;RG-AMF-POSITION-RECOMMANDATION-OBLIGATION;régime(s) voisin(s) plausible(s) : SFDR — la confusion est juridiquement crédible
AMF;AMF-R-002;OBLIGATION;draft;HIGH;F10;EXCEPTION;;0;False;qualification;OVERGENERALIZATION;4;HIGH;not_retained;;;Position-recommandation DOC-2020-03 = Proportionnalité de la communication extra-financière;RG-AMF-POSITION-RECOMMANDATION-OBLIGATION;exceptions inconnues : tester une exception qu'on n'a pas cherchée reviendrait à l'inventer
AMF;AMF-R-002;OBLIGATION;draft;HIGH;F11;NEGATIVE_ASSERTION;;0;False;false_premise;NEGATIVE_ASSERTION;4;HIGH;not_retained;;;Position-recommandation DOC-2020-03 = Proportionnalité de la communication extra-financière;RG-AMF-POSITION-RECOMMANDATION-OBLIGATION;aucune affirmation négative documentée : il n'y a rien à nier
AMF;AMF-R-002;OBLIGATION;draft;HIGH;F12;MISSING_INFORMATION;AMF-R-002-F12;2;True;calibrated_abstention;MISSING_INFORMATION;4;MEDIUM;blocked;;;Position-recommandation DOC-2020-03 = Proportionnalité de la communication extra-financière;RG-AMF-POSITION-RECOMMANDATION-OBLIGATION;l'obligation dépend de faits identifiables : le modèle doit dire lesquels lui manquent
AMF;AMF-R-003;OBLIGATION;draft;HIGH;F1;FACT_RECALL;AMF-R-003-F1;2;True;fact;NONE;2;MEDIUM;blocked;;;Position-recommandation DOC-2020-03 = Cohérence de la dénomination du produit avec son approche;RG-AMF-POSITION-RECOMMANDATION-OBLIGATION;l'obligation elle-même se restitue : qui doit quoi, envers qui
AMF;AMF-R-003;OBLIGATION;draft;HIGH;F2;QUALIFICATION;AMF-R-003-F2;3;True;qualification;NONE;4;HIGH;blocked;;;Position-recommandation DOC-2020-03 = Cohérence de la dénomination du produit avec son approche;RG-AMF-POSITION-RECOMMANDATION-OBLIGATION;un cas concret tranche : la règle dit qui est concerné et ce qui doit être fait, l'application est vérifiable
AMF;AMF-R-003;OBLIGATION;draft;HIGH;F3;CALCULATION;;0;False;calculation;NONE;3;HIGH;not_retained;;;Position-recommandation DOC-2020-03 = Cohérence de la dénomination du produit avec son approche;RG-AMF-POSITION-RECOMMANDATION-OBLIGATION;aucune computation réelle : un calcul serait fabriqué pour la question
AMF;AMF-R-003;OBLIGATION;draft;HIGH;F4;FALSE_PREMISE;AMF-R-003-F4;2;True;false_premise;SCOPE_CONFUSION;4;HIGH;blocked;TG-AMF-R-003;SCOPE_TWIN;Position-recommandation DOC-2020-03 = Cohérence de la dénomination du produit avec son approche;RG-AMF-POSITION-RECOMMANDATION-OBLIGATION;1 confusion(s) typique(s) documentée(s) : chacune se retourne en prémisse fausse plausible
AMF;AMF-R-003;OBLIGATION;draft;HIGH;F5;TRUE_PREMISE_ADVERSARIAL;AMF-R-003-F5;2;True;true_premise_adversarial;NONE;4;MEDIUM;blocked;TG-AMF-R-003;SCOPE_TWIN;Position-recommandation DOC-2020-03 = Cohérence de la dénomination du produit avec son approche;RG-AMF-POSITION-RECOMMANDATION-OBLIGATION;jumeau obligatoire de la fausse prémisse : sans lui, le modèle apprend « question adversariale ⇒ réfuter » et gagne des points en réfutant le vrai
AMF;AMF-R-003;OBLIGATION;draft;HIGH;F6;CALIBRATED_ABSTENTION;;1;False;calibrated_abstention;MISSING_INFORMATION;4;MEDIUM;not_retained;;;Position-recommandation DOC-2020-03 = Cohérence de la dénomination du produit avec son approche;RG-AMF-POSITION-RECOMMANDATION-OBLIGATION;exceptions inconnues : on ne peut pas affirmer qu'un cas est indécidable tant qu'on ignore ce que le texte prévoit
AMF;AMF-R-003;OBLIGATION;draft;HIGH;F7;CONDITIONAL_ANSWER;;0;False;qualification;NONE;3;HIGH;not_retained;;;Position-recommandation DOC-2020-03 = Cohérence de la dénomination du produit avec son approche;RG-AMF-POSITION-RECOMMANDATION-OBLIGATION;règle sans branche : une réponse conditionnelle serait un artifice
AMF;AMF-R-003;OBLIGATION;draft;HIGH;F8;TEMPORAL;;0;False;fact;TEMPORAL_CONFUSION;4;MEDIUM;not_retained;;;Position-recommandation DOC-2020-03 = Cohérence de la dénomination du produit avec son approche;RG-AMF-POSITION-RECOMMANDATION-OBLIGATION;règle stable et non bornée : une question temporelle porterait sur une date sans enjeu
AMF;AMF-R-003;OBLIGATION;draft;HIGH;F9;CROSS_REGULATORY;;0;False;qualification;CROSS_REGULATORY_CONFLATION;5;HIGH;not_retained;;;Position-recommandation DOC-2020-03 = Cohérence de la dénomination du produit avec son approche;RG-AMF-POSITION-RECOMMANDATION-OBLIGATION;aucun régime voisin : la confusion ne serait pas plausible
AMF;AMF-R-003;OBLIGATION;draft;HIGH;F10;EXCEPTION;;0;False;qualification;OVERGENERALIZATION;4;HIGH;not_retained;;;Position-recommandation DOC-2020-03 = Cohérence de la dénomination du produit avec son approche;RG-AMF-POSITION-RECOMMANDATION-OBLIGATION;exceptions inconnues : tester une exception qu'on n'a pas cherchée reviendrait à l'inventer
AMF;AMF-R-003;OBLIGATION;draft;HIGH;F11;NEGATIVE_ASSERTION;;0;False;false_premise;NEGATIVE_ASSERTION;4;HIGH;not_retained;;;Position-recommandation DOC-2020-03 = Cohérence de la dénomination du produit avec son approche;RG-AMF-POSITION-RECOMMANDATION-OBLIGATION;aucune affirmation négative documentée : il n'y a rien à nier
AMF;AMF-R-003;OBLIGATION;draft;HIGH;F12;MISSING_INFORMATION;AMF-R-003-F12;2;True;calibrated_abstention;MISSING_INFORMATION;4;MEDIUM;blocked;;;Position-recommandation DOC-2020-03 = Cohérence de la dénomination du produit avec son approche;RG-AMF-POSITION-RECOMMANDATION-OBLIGATION;l'obligation dépend de faits identifiables : le modèle doit dire lesquels lui manquent
AMF;AMF-R-004;SCOPE;draft;CRITICAL;F1;FACT_RECALL;AMF-R-004-F1;3;True;fact;NONE;3;HIGH;blocked;;;Position-recommandation DOC-2020-03 = Articulation entre doctrine AMF et règlement SFDR;RG-AMF-POSITION-RECOMMANDATION-SCOPE;règle de type SCOPE : elle porte un élément restituable exactement (définition, seuil, délai ou périmètre)
AMF;AMF-R-004;SCOPE;draft;CRITICAL;F2;QUALIFICATION;AMF-R-004-F2;3;True;qualification;NONE;5;CRITICAL;blocked;;;Position-recommandation DOC-2020-03 = Articulation entre doctrine AMF et règlement SFDR;RG-AMF-POSITION-RECOMMANDATION-SCOPE;un cas concret tranche : la règle dit qui est concerné et ce qui doit être fait, l'application est vérifiable
AMF;AMF-R-004;SCOPE;draft;CRITICAL;F3;CALCULATION;;0;False;calculation;NONE;4;CRITICAL;not_retained;;;Position-recommandation DOC-2020-03 = Articulation entre doctrine AMF et règlement SFDR;RG-AMF-POSITION-RECOMMANDATION-SCOPE;aucune computation réelle : un calcul serait fabriqué pour la question
AMF;AMF-R-004;SCOPE;draft;CRITICAL;F4;FALSE_PREMISE;AMF-R-004-F4;2;True;false_premise;SCOPE_CONFUSION;5;CRITICAL;blocked;TG-AMF-R-004;SCOPE_TWIN;Position-recommandation DOC-2020-03 = Articulation entre doctrine AMF et règlement SFDR;RG-AMF-POSITION-RECOMMANDATION-SCOPE;2 confusion(s) typique(s) documentée(s) : chacune se retourne en prémisse fausse plausible
AMF;AMF-R-004;SCOPE;draft;CRITICAL;F5;TRUE_PREMISE_ADVERSARIAL;AMF-R-004-F5;2;True;true_premise_adversarial;NONE;5;HIGH;blocked;TG-AMF-R-004;SCOPE_TWIN;Position-recommandation DOC-2020-03 = Articulation entre doctrine AMF et règlement SFDR;RG-AMF-POSITION-RECOMMANDATION-SCOPE;jumeau obligatoire de la fausse prémisse : sans lui, le modèle apprend « question adversariale ⇒ réfuter » et gagne des points en réfutant le vrai
AMF;AMF-R-004;SCOPE;draft;CRITICAL;F6;CALIBRATED_ABSTENTION;;1;False;calibrated_abstention;MISSING_INFORMATION;5;HIGH;not_retained;;;Position-recommandation DOC-2020-03 = Articulation entre doctrine AMF et règlement SFDR;RG-AMF-POSITION-RECOMMANDATION-SCOPE;exceptions inconnues : on ne peut pas affirmer qu'un cas est indécidable tant qu'on ignore ce que le texte prévoit
AMF;AMF-R-004;SCOPE;draft;CRITICAL;F7;CONDITIONAL_ANSWER;;0;False;qualification;NONE;4;CRITICAL;not_retained;;;Position-recommandation DOC-2020-03 = Articulation entre doctrine AMF et règlement SFDR;RG-AMF-POSITION-RECOMMANDATION-SCOPE;règle sans branche : une réponse conditionnelle serait un artifice
AMF;AMF-R-004;SCOPE;draft;CRITICAL;F8;TEMPORAL;;0;False;fact;TEMPORAL_CONFUSION;5;HIGH;not_retained;;;Position-recommandation DOC-2020-03 = Articulation entre doctrine AMF et règlement SFDR;RG-AMF-POSITION-RECOMMANDATION-SCOPE;règle stable et non bornée : une question temporelle porterait sur une date sans enjeu
AMF;AMF-R-004;SCOPE;draft;CRITICAL;F9;CROSS_REGULATORY;AMF-R-004-F9;3;True;qualification;CROSS_REGULATORY_CONFLATION;5;CRITICAL;blocked;;;Position-recommandation DOC-2020-03 = Articulation entre doctrine AMF et règlement SFDR;RG-AMF-POSITION-RECOMMANDATION-SCOPE;confusion inter-réglementaire documentée et régime(s) voisin(s) identifié(s) : SFDR
AMF;AMF-R-004;SCOPE;draft;CRITICAL;F10;EXCEPTION;;0;False;qualification;OVERGENERALIZATION;5;CRITICAL;not_retained;;;Position-recommandation DOC-2020-03 = Articulation entre doctrine AMF et règlement SFDR;RG-AMF-POSITION-RECOMMANDATION-SCOPE;exceptions inconnues : tester une exception qu'on n'a pas cherchée reviendrait à l'inventer
AMF;AMF-R-004;SCOPE;draft;CRITICAL;F11;NEGATIVE_ASSERTION;;0;False;false_premise;NEGATIVE_ASSERTION;5;CRITICAL;not_retained;;;Position-recommandation DOC-2020-03 = Articulation entre doctrine AMF et règlement SFDR;RG-AMF-POSITION-RECOMMANDATION-SCOPE;aucune affirmation négative documentée : il n'y a rien à nier
AMF;AMF-R-004;SCOPE;draft;CRITICAL;F12;MISSING_INFORMATION;AMF-R-004-F12;3;True;calibrated_abstention;MISSING_INFORMATION;5;HIGH;blocked;;;Position-recommandation DOC-2020-03 = Articulation entre doctrine AMF et règlement SFDR;RG-AMF-POSITION-RECOMMANDATION-SCOPE;règle de type SCOPE : on peut nommer exactement la donnée qui manque pour conclure
AMF;AMF-R-005;SCOPE;draft;HIGH;F1;FACT_RECALL;AMF-R-005-F1;3;True;fact;NONE;2;MEDIUM;blocked;;;Règlement général = Portée du règlement général de l'AMF;RG-AMF-REGLEMENT-GENERAL-SCOPE;règle de type SCOPE : elle porte un élément restituable exactement (définition, seuil, délai ou périmètre)
AMF;AMF-R-005;SCOPE;draft;HIGH;F2;QUALIFICATION;AMF-R-005-F2;3;True;qualification;NONE;4;HIGH;blocked;;;Règlement général = Portée du règlement général de l'AMF;RG-AMF-REGLEMENT-GENERAL-SCOPE;un cas concret tranche : la règle dit qui est concerné et ce qui doit être fait, l'application est vérifiable
AMF;AMF-R-005;SCOPE;draft;HIGH;F3;CALCULATION;;0;False;calculation;NONE;3;HIGH;not_retained;;;Règlement général = Portée du règlement général de l'AMF;RG-AMF-REGLEMENT-GENERAL-SCOPE;aucune computation réelle : un calcul serait fabriqué pour la question
AMF;AMF-R-005;SCOPE;draft;HIGH;F4;FALSE_PREMISE;AMF-R-005-F4;3;True;false_premise;FALSE_ARTICLE;4;HIGH;blocked;TG-AMF-R-005;FALSE_TRUE;Règlement général = Portée du règlement général de l'AMF;RG-AMF-REGLEMENT-GENERAL-SCOPE;la règle porte un piège d'invention (seuil ou article) : la fausse prémisse s'écrit directement dessus
AMF;AMF-R-005;SCOPE;draft;HIGH;F5;TRUE_PREMISE_ADVERSARIAL;AMF-R-005-F5;3;True;true_premise_adversarial;NONE;4;MEDIUM;blocked;TG-AMF-R-005;FALSE_TRUE;Règlement général = Portée du règlement général de l'AMF;RG-AMF-REGLEMENT-GENERAL-SCOPE;jumeau obligatoire de la fausse prémisse : sans lui, le modèle apprend « question adversariale ⇒ réfuter » et gagne des points en réfutant le vrai
AMF;AMF-R-005;SCOPE;draft;HIGH;F6;CALIBRATED_ABSTENTION;;1;False;calibrated_abstention;MISSING_INFORMATION;4;MEDIUM;not_retained;;;Règlement général = Portée du règlement général de l'AMF;RG-AMF-REGLEMENT-GENERAL-SCOPE;exceptions inconnues : on ne peut pas affirmer qu'un cas est indécidable tant qu'on ignore ce que le texte prévoit
AMF;AMF-R-005;SCOPE;draft;HIGH;F7;CONDITIONAL_ANSWER;;0;False;qualification;NONE;3;HIGH;not_retained;;;Règlement général = Portée du règlement général de l'AMF;RG-AMF-REGLEMENT-GENERAL-SCOPE;règle sans branche : une réponse conditionnelle serait un artifice
AMF;AMF-R-005;SCOPE;draft;HIGH;F8;TEMPORAL;;0;False;fact;TEMPORAL_CONFUSION;4;MEDIUM;not_retained;;;Règlement général = Portée du règlement général de l'AMF;RG-AMF-REGLEMENT-GENERAL-SCOPE;règle stable et non bornée : une question temporelle porterait sur une date sans enjeu
AMF;AMF-R-005;SCOPE;draft;HIGH;F9;CROSS_REGULATORY;;0;False;qualification;CROSS_REGULATORY_CONFLATION;5;HIGH;not_retained;;;Règlement général = Portée du règlement général de l'AMF;RG-AMF-REGLEMENT-GENERAL-SCOPE;aucun régime voisin : la confusion ne serait pas plausible
AMF;AMF-R-005;SCOPE;draft;HIGH;F10;EXCEPTION;;0;False;qualification;OVERGENERALIZATION;4;HIGH;not_retained;;;Règlement général = Portée du règlement général de l'AMF;RG-AMF-REGLEMENT-GENERAL-SCOPE;exceptions inconnues : tester une exception qu'on n'a pas cherchée reviendrait à l'inventer
AMF;AMF-R-005;SCOPE;draft;HIGH;F11;NEGATIVE_ASSERTION;;0;False;false_premise;NEGATIVE_ASSERTION;4;HIGH;not_retained;;;Règlement général = Portée du règlement général de l'AMF;RG-AMF-REGLEMENT-GENERAL-SCOPE;aucune affirmation négative documentée : il n'y a rien à nier
AMF;AMF-R-005;SCOPE;draft;HIGH;F12;MISSING_INFORMATION;AMF-R-005-F12;3;True;calibrated_abstention;MISSING_INFORMATION;4;MEDIUM;blocked;;;Règlement général = Portée du règlement général de l'AMF;RG-AMF-REGLEMENT-GENERAL-SCOPE;règle de type SCOPE : on peut nommer exactement la donnée qui manque pour conclure
DORA;DORA-R-001;SCOPE;draft;CRITICAL;F1;FACT_RECALL;DORA-R-001-F1;3;True;fact;NONE;2;HIGH;blocked;;;Article 2 = Entités financières couvertes par DORA;RG-DORA-ARTICLE-2-SCOPE;règle de type SCOPE : elle porte un élément restituable exactement (définition, seuil, délai ou périmètre)
DORA;DORA-R-001;SCOPE;draft;CRITICAL;F2;QUALIFICATION;DORA-R-001-F2;3;True;qualification;NONE;4;CRITICAL;blocked;;;Article 2 = Entités financières couvertes par DORA;RG-DORA-ARTICLE-2-SCOPE;un cas concret tranche : la règle dit qui est concerné et ce qui doit être fait, l'application est vérifiable
DORA;DORA-R-001;SCOPE;draft;CRITICAL;F3;CALCULATION;;0;False;calculation;NONE;3;CRITICAL;not_retained;;;Article 2 = Entités financières couvertes par DORA;RG-DORA-ARTICLE-2-SCOPE;aucune computation réelle : un calcul serait fabriqué pour la question
DORA;DORA-R-001;SCOPE;draft;CRITICAL;F4;FALSE_PREMISE;DORA-R-001-F4;3;True;false_premise;FALSE_THRESHOLD;4;CRITICAL;blocked;TG-DORA-R-001;FALSE_TRUE;Article 2 = Entités financières couvertes par DORA;RG-DORA-ARTICLE-2-SCOPE;la règle porte un piège d'invention (seuil ou article) : la fausse prémisse s'écrit directement dessus
DORA;DORA-R-001;SCOPE;draft;CRITICAL;F5;TRUE_PREMISE_ADVERSARIAL;DORA-R-001-F5;3;True;true_premise_adversarial;NONE;4;HIGH;blocked;TG-DORA-R-001;FALSE_TRUE;Article 2 = Entités financières couvertes par DORA;RG-DORA-ARTICLE-2-SCOPE;jumeau obligatoire de la fausse prémisse : sans lui, le modèle apprend « question adversariale ⇒ réfuter » et gagne des points en réfutant le vrai
DORA;DORA-R-001;SCOPE;draft;CRITICAL;F6;CALIBRATED_ABSTENTION;;1;False;calibrated_abstention;MISSING_INFORMATION;4;HIGH;not_retained;;;Article 2 = Entités financières couvertes par DORA;RG-DORA-ARTICLE-2-SCOPE;exceptions inconnues : on ne peut pas affirmer qu'un cas est indécidable tant qu'on ignore ce que le texte prévoit
DORA;DORA-R-001;SCOPE;draft;CRITICAL;F7;CONDITIONAL_ANSWER;;0;False;qualification;NONE;3;CRITICAL;not_retained;;;Article 2 = Entités financières couvertes par DORA;RG-DORA-ARTICLE-2-SCOPE;règle sans branche : une réponse conditionnelle serait un artifice
DORA;DORA-R-001;SCOPE;draft;CRITICAL;F8;TEMPORAL;;0;False;fact;TEMPORAL_CONFUSION;4;HIGH;not_retained;;;Article 2 = Entités financières couvertes par DORA;RG-DORA-ARTICLE-2-SCOPE;règle stable et non bornée : une question temporelle porterait sur une date sans enjeu
DORA;DORA-R-001;SCOPE;draft;CRITICAL;F9;CROSS_REGULATORY;;0;False;qualification;CROSS_REGULATORY_CONFLATION;5;CRITICAL;not_retained;;;Article 2 = Entités financières couvertes par DORA;RG-DORA-ARTICLE-2-SCOPE;aucun régime voisin : la confusion ne serait pas plausible
DORA;DORA-R-001;SCOPE;draft;CRITICAL;F10;EXCEPTION;;0;False;qualification;OVERGENERALIZATION;4;CRITICAL;not_retained;;;Article 2 = Entités financières couvertes par DORA;RG-DORA-ARTICLE-2-SCOPE;exceptions inconnues : tester une exception qu'on n'a pas cherchée reviendrait à l'inventer
DORA;DORA-R-001;SCOPE;draft;CRITICAL;F11;NEGATIVE_ASSERTION;;0;False;false_premise;NEGATIVE_ASSERTION;4;CRITICAL;not_retained;;;Article 2 = Entités financières couvertes par DORA;RG-DORA-ARTICLE-2-SCOPE;aucune affirmation négative documentée : il n'y a rien à nier
DORA;DORA-R-001;SCOPE;draft;CRITICAL;F12;MISSING_INFORMATION;DORA-R-001-F12;3;True;calibrated_abstention;MISSING_INFORMATION;4;HIGH;blocked;;;Article 2 = Entités financières couvertes par DORA;RG-DORA-ARTICLE-2-SCOPE;règle de type SCOPE : on peut nommer exactement la donnée qui manque pour conclure
DORA;DORA-R-002;GOVERNANCE;draft;CRITICAL;F1;FACT_RECALL;;1;False;fact;NONE;2;HIGH;not_retained;;;Article 5 = Responsabilité de l'organe de direction sur le risque TIC;RG-DORA-ARTICLE-5-GOVERNANCE;règle de type GOVERNANCE : la restitution porterait sur un dispositif diffus, difficile à noter exactement
DORA;DORA-R-002;GOVERNANCE;draft;CRITICAL;F2;QUALIFICATION;DORA-R-002-F2;2;True;qualification;NONE;4;CRITICAL;blocked;;;Article 5 = Responsabilité de l'organe de direction sur le risque TIC;RG-DORA-ARTICLE-5-GOVERNANCE;la règle se projette sur un cas, avec une réponse tranchable
DORA;DORA-R-002;GOVERNANCE;draft;CRITICAL;F3;CALCULATION;;0;False;calculation;NONE;3;CRITICAL;not_retained;;;Article 5 = Responsabilité de l'organe de direction sur le risque TIC;RG-DORA-ARTICLE-5-GOVERNANCE;aucune computation réelle : un calcul serait fabriqué pour la question
